timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,8553.72,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,8445.67,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,8352.33,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,8281.37,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,8225.8,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,8148.04,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,8089.74,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,8040.01,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,7964.0,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,7883.61,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,7827.26,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,7782.0,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,7796.69,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,7833.74,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T03:30:00Z,2026-01-01T04:30:00+0100,7820.82,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T03:45:00Z,2026-01-01T04:45:00+0100,7800.7,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
2026-01-01T04:00:00Z,2026-01-01T05:00:00+0100,7836.17,MW,BE,BE,actual_load,Actual Load,2026-08-07T15:12:44Z
