timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,78.36,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,68.41,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,70.59,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,59.15,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,74.09,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,60.59,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,62.5,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,49.26,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,59.7,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,51.32,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,35.15,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,33.35,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,30.74,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,23.07,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T03:30:00Z,2026-01-01T04:30:00+0100,29.48,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T03:45:00Z,2026-01-01T04:45:00+0100,29.96,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T04:00:00Z,2026-01-01T05:00:00+0100,24.56,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T04:15:00Z,2026-01-01T05:15:00+0100,23.45,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T04:30:00Z,2026-01-01T05:30:00+0100,28.66,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T04:45:00Z,2026-01-01T05:45:00+0100,13.35,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T05:00:00Z,2026-01-01T06:00:00+0100,26.15,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T05:15:00Z,2026-01-01T06:15:00+0100,10.62,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T05:30:00Z,2026-01-01T06:30:00+0100,26.46,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T05:45:00Z,2026-01-01T06:45:00+0100,16.82,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T06:00:00Z,2026-01-01T07:00:00+0100,45.31,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T06:15:00Z,2026-01-01T07:15:00+0100,20.0,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T06:30:00Z,2026-01-01T07:30:00+0100,24.0,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T06:45:00Z,2026-01-01T07:45:00+0100,20.1,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T07:00:00Z,2026-01-01T08:00:00+0100,34.67,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T07:15:00Z,2026-01-01T08:15:00+0100,31.87,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T07:30:00Z,2026-01-01T08:30:00+0100,22.85,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T07:45:00Z,2026-01-01T08:45:00+0100,12.58,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T08:00:00Z,2026-01-01T09:00:00+0100,54.08,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T08:15:00Z,2026-01-01T09:15:00+0100,42.94,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T08:30:00Z,2026-01-01T09:30:00+0100,33.83,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T08:45:00Z,2026-01-01T09:45:00+0100,11.59,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T09:00:00Z,2026-01-01T10:00:00+0100,51.36,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T09:15:00Z,2026-01-01T10:15:00+0100,29.65,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T09:30:00Z,2026-01-01T10:30:00+0100,26.57,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T09:45:00Z,2026-01-01T10:45:00+0100,12.47,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T10:00:00Z,2026-01-01T11:00:00+0100,41.19,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T10:15:00Z,2026-01-01T11:15:00+0100,23.18,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T10:30:00Z,2026-01-01T11:30:00+0100,28.86,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T10:45:00Z,2026-01-01T11:45:00+0100,23.26,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T11:00:00Z,2026-01-01T12:00:00+0100,33.38,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T11:15:00Z,2026-01-01T12:15:00+0100,40.41,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T11:30:00Z,2026-01-01T12:30:00+0100,46.6,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T11:45:00Z,2026-01-01T12:45:00+0100,50.0,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T12:00:00Z,2026-01-01T13:00:00+0100,45.65,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T12:15:00Z,2026-01-01T13:15:00+0100,43.85,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T12:30:00Z,2026-01-01T13:30:00+0100,18.45,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T12:45:00Z,2026-01-01T13:45:00+0100,18.7,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
2026-01-01T13:00:00Z,2026-01-01T14:00:00+0100,28.59,EUR/MWh,BE,BE,day_ahead_price,value,2026-08-07T15:22:54Z
