timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,8356.98,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,8302.51,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,8220.49,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,8198.23,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,8194.73,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,8197.5,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,8158.0,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,8140.51,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,8131.28,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,8119.42,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,8094.28,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,8106.37,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,8118.17,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,8128.81,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T03:30:00Z,2026-01-01T04:30:00+0100,8128.35,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T03:45:00Z,2026-01-01T04:45:00+0100,8121.38,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T04:00:00Z,2026-01-01T05:00:00+0100,8121.92,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T04:15:00Z,2026-01-01T05:15:00+0100,8117.14,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T04:30:00Z,2026-01-01T05:30:00+0100,8158.7,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T04:45:00Z,2026-01-01T05:45:00+0100,8104.67,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T05:00:00Z,2026-01-01T06:00:00+0100,8074.81,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T05:15:00Z,2026-01-01T06:15:00+0100,8046.95,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T05:30:00Z,2026-01-01T06:30:00+0100,8142.1,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T05:45:00Z,2026-01-01T06:45:00+0100,8044.19,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T06:00:00Z,2026-01-01T07:00:00+0100,7941.32,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T06:15:00Z,2026-01-01T07:15:00+0100,7842.1,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T06:30:00Z,2026-01-01T07:30:00+0100,7928.97,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T06:45:00Z,2026-01-01T07:45:00+0100,7864.77,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T07:00:00Z,2026-01-01T08:00:00+0100,7795.87,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T07:15:00Z,2026-01-01T08:15:00+0100,7718.21,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T07:30:00Z,2026-01-01T08:30:00+0100,7787.69,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T07:45:00Z,2026-01-01T08:45:00+0100,7800.33,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T08:00:00Z,2026-01-01T09:00:00+0100,7829.66,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T08:15:00Z,2026-01-01T09:15:00+0100,7871.19,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T08:30:00Z,2026-01-01T09:30:00+0100,7956.99,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T08:45:00Z,2026-01-01T09:45:00+0100,8068.19,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T09:00:00Z,2026-01-01T10:00:00+0100,8160.46,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T09:15:00Z,2026-01-01T10:15:00+0100,8256.02,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T09:30:00Z,2026-01-01T10:30:00+0100,8302.85,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T09:45:00Z,2026-01-01T10:45:00+0100,8366.93,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T10:00:00Z,2026-01-01T11:00:00+0100,8422.03,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T10:15:00Z,2026-01-01T11:15:00+0100,8479.98,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T10:30:00Z,2026-01-01T11:30:00+0100,8507.93,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T10:45:00Z,2026-01-01T11:45:00+0100,8545.09,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T11:00:00Z,2026-01-01T12:00:00+0100,8564.37,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T11:15:00Z,2026-01-01T12:15:00+0100,8580.13,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T11:30:00Z,2026-01-01T12:30:00+0100,8556.12,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T11:45:00Z,2026-01-01T12:45:00+0100,8578.65,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T12:00:00Z,2026-01-01T13:00:00+0100,8588.59,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T12:15:00Z,2026-01-01T13:15:00+0100,8609.0,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T12:30:00Z,2026-01-01T13:30:00+0100,8567.93,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T12:45:00Z,2026-01-01T13:45:00+0100,8564.66,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T13:00:00Z,2026-01-01T14:00:00+0100,8547.45,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T13:15:00Z,2026-01-01T14:15:00+0100,8542.44,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T13:30:00Z,2026-01-01T14:30:00+0100,8498.57,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T13:45:00Z,2026-01-01T14:45:00+0100,8523.59,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T14:00:00Z,2026-01-01T15:00:00+0100,8535.76,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T14:15:00Z,2026-01-01T15:15:00+0100,8552.23,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T14:30:00Z,2026-01-01T15:30:00+0100,8513.2,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T14:45:00Z,2026-01-01T15:45:00+0100,8489.31,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T15:00:00Z,2026-01-01T16:00:00+0100,8487.48,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T15:15:00Z,2026-01-01T16:15:00+0100,8516.16,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T15:30:00Z,2026-01-01T16:30:00+0100,8587.66,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T15:45:00Z,2026-01-01T16:45:00+0100,8647.2,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T16:00:00Z,2026-01-01T17:00:00+0100,8716.02,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T16:15:00Z,2026-01-01T17:15:00+0100,8766.9,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T16:30:00Z,2026-01-01T17:30:00+0100,8821.03,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
2026-01-01T16:45:00Z,2026-01-01T17:45:00+0100,8857.3,MW,BE,BE,forecast_load,Forecasted Load,2026-08-07T15:14:00Z
