timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2024-01-01T00:00:00Z,2024-01-01T01:00:00+0100,28.14,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T01:00:00Z,2024-01-01T02:00:00+0100,26.66,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T02:00:00Z,2024-01-01T03:00:00+0100,4.14,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T03:00:00Z,2024-01-01T04:00:00+0100,-0.03,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T04:00:00Z,2024-01-01T05:00:00+0100,-0.02,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T05:00:00Z,2024-01-01T06:00:00+0100,-0.05,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T06:00:00Z,2024-01-01T07:00:00+0100,-0.02,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T07:00:00Z,2024-01-01T08:00:00+0100,0.0,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T08:00:00Z,2024-01-01T09:00:00+0100,0.08,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T09:00:00Z,2024-01-01T10:00:00+0100,41.34,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T10:00:00Z,2024-01-01T11:00:00+0100,43.51,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T11:00:00Z,2024-01-01T12:00:00+0100,43.02,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T12:00:00Z,2024-01-01T13:00:00+0100,44.29,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T13:00:00Z,2024-01-01T14:00:00+0100,46.24,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T14:00:00Z,2024-01-01T15:00:00+0100,50.61,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
2024-01-01T15:00:00Z,2024-01-01T16:00:00+0100,59.47,EUR/MWh,DK1,DK_1,day_ahead_price,value,2026-08-05T18:11:14Z
