timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2022-01-01T00:00:00Z,2022-01-01T01:00:00+0100,114.9,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T01:00:00Z,2022-01-01T02:00:00+0100,113.87,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T02:00:00Z,2022-01-01T03:00:00+0100,97.8,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T03:00:00Z,2022-01-01T04:00:00+0100,97.8,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T04:00:00Z,2022-01-01T05:00:00+0100,95.74,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T05:00:00Z,2022-01-01T06:00:00+0100,97.8,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T06:00:00Z,2022-01-01T07:00:00+0100,97.8,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T07:00:00Z,2022-01-01T08:00:00+0100,97.8,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T08:00:00Z,2022-01-01T09:00:00+0100,70.05,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T09:00:00Z,2022-01-01T10:00:00+0100,76.79,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T10:00:00Z,2022-01-01T11:00:00+0100,84.1,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T11:00:00Z,2022-01-01T12:00:00+0100,94.74,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T12:00:00Z,2022-01-01T13:00:00+0100,96.8,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T13:00:00Z,2022-01-01T14:00:00+0100,97.8,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T14:00:00Z,2022-01-01T15:00:00+0100,98.52,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T15:00:00Z,2022-01-01T16:00:00+0100,114.5,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T16:00:00Z,2022-01-01T17:00:00+0100,149.97,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T17:00:00Z,2022-01-01T18:00:00+0100,177.22,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T18:00:00Z,2022-01-01T19:00:00+0100,187.52,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T19:00:00Z,2022-01-01T20:00:00+0100,189.26,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T20:00:00Z,2022-01-01T21:00:00+0100,190.81,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T21:00:00Z,2022-01-01T22:00:00+0100,188.39,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T22:00:00Z,2022-01-01T23:00:00+0100,167.26,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-01T23:00:00Z,2022-01-02T00:00:00+0100,133.21,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T00:00:00Z,2022-01-02T01:00:00+0100,115.87,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T01:00:00Z,2022-01-02T02:00:00+0100,110.52,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T02:00:00Z,2022-01-02T03:00:00+0100,113.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T03:00:00Z,2022-01-02T04:00:00+0100,115.87,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T04:00:00Z,2022-01-02T05:00:00+0100,110.52,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T05:00:00Z,2022-01-02T06:00:00+0100,115.87,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T06:00:00Z,2022-01-02T07:00:00+0100,129.6,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T07:00:00Z,2022-01-02T08:00:00+0100,115.87,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T08:00:00Z,2022-01-02T09:00:00+0100,115.87,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T09:00:00Z,2022-01-02T10:00:00+0100,113.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T10:00:00Z,2022-01-02T11:00:00+0100,103.7,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T11:00:00Z,2022-01-02T12:00:00+0100,103.7,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T12:00:00Z,2022-01-02T13:00:00+0100,110.52,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T13:00:00Z,2022-01-02T14:00:00+0100,115.87,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T14:00:00Z,2022-01-02T15:00:00+0100,109.5,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T15:00:00Z,2022-01-02T16:00:00+0100,115.87,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T16:00:00Z,2022-01-02T17:00:00+0100,159.79,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T17:00:00Z,2022-01-02T18:00:00+0100,194.25,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T18:00:00Z,2022-01-02T19:00:00+0100,198.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T19:00:00Z,2022-01-02T20:00:00+0100,208.38,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T20:00:00Z,2022-01-02T21:00:00+0100,209.1,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T21:00:00Z,2022-01-02T22:00:00+0100,191.36,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T22:00:00Z,2022-01-02T23:00:00+0100,178.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-02T23:00:00Z,2022-01-03T00:00:00+0100,181.5,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T00:00:00Z,2022-01-03T01:00:00+0100,160.72,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T01:00:00Z,2022-01-03T02:00:00+0100,154.64,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T02:00:00Z,2022-01-03T03:00:00+0100,149.86,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T03:00:00Z,2022-01-03T04:00:00+0100,144.49,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T04:00:00Z,2022-01-03T05:00:00+0100,148.86,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T05:00:00Z,2022-01-03T06:00:00+0100,153.77,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T06:00:00Z,2022-01-03T07:00:00+0100,160.72,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T07:00:00Z,2022-01-03T08:00:00+0100,189.26,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T08:00:00Z,2022-01-03T09:00:00+0100,183.54,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
2022-01-03T09:00:00Z,2022-01-03T10:00:00+0100,160.72,EUR/MWh,ES,ES,day_ahead_price,value,2026-08-05T20:49:44Z
