timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2024-01-01T00:00:00Z,2024-01-01T01:00:00+0100,21890.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T00:15:00Z,2024-01-01T01:15:00+0100,21715.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T00:30:00Z,2024-01-01T01:30:00+0100,21410.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T00:45:00Z,2024-01-01T01:45:00+0100,21012.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T01:00:00Z,2024-01-01T02:00:00+0100,20525.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T01:15:00Z,2024-01-01T02:15:00+0100,20113.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T01:30:00Z,2024-01-01T02:30:00+0100,19766.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T01:45:00Z,2024-01-01T02:45:00+0100,19479.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T02:00:00Z,2024-01-01T03:00:00+0100,19202.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T02:15:00Z,2024-01-01T03:15:00+0100,18976.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T02:30:00Z,2024-01-01T03:30:00+0100,18757.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T02:45:00Z,2024-01-01T03:45:00+0100,18548.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T03:00:00Z,2024-01-01T04:00:00+0100,18301.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T03:15:00Z,2024-01-01T04:15:00+0100,18140.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
2024-01-01T03:30:00Z,2024-01-01T04:30:00+0100,18013.0,MW,ES,ES,forecast_load,Forecasted Load,2026-08-05T20:39:33Z
