timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2025-01-01T00:00:00Z,2025-01-01T01:00:00+0100,2939.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T00:15:00Z,2025-01-01T01:15:00+0100,2976.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T00:30:00Z,2025-01-01T01:30:00+0100,3010.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T00:45:00Z,2025-01-01T01:45:00+0100,3041.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T01:00:00Z,2025-01-01T02:00:00+0100,3072.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T01:15:00Z,2025-01-01T02:15:00+0100,3101.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T01:30:00Z,2025-01-01T02:30:00+0100,3130.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T01:45:00Z,2025-01-01T02:45:00+0100,3159.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T02:00:00Z,2025-01-01T03:00:00+0100,3187.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T02:15:00Z,2025-01-01T03:15:00+0100,3211.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T02:30:00Z,2025-01-01T03:30:00+0100,3232.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T02:45:00Z,2025-01-01T03:45:00+0100,3250.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T03:00:00Z,2025-01-01T04:00:00+0100,3268.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T03:15:00Z,2025-01-01T04:15:00+0100,3287.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T03:30:00Z,2025-01-01T04:30:00+0100,3308.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T03:45:00Z,2025-01-01T04:45:00+0100,3330.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T04:00:00Z,2025-01-01T05:00:00+0100,3357.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T04:15:00Z,2025-01-01T05:15:00+0100,3377.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T04:30:00Z,2025-01-01T05:30:00+0100,3394.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T04:45:00Z,2025-01-01T05:45:00+0100,3408.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T05:00:00Z,2025-01-01T06:00:00+0100,3421.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T05:15:00Z,2025-01-01T06:15:00+0100,3430.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T05:30:00Z,2025-01-01T06:30:00+0100,3436.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T05:45:00Z,2025-01-01T06:45:00+0100,3440.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T06:00:00Z,2025-01-01T07:00:00+0100,3441.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T06:15:00Z,2025-01-01T07:15:00+0100,3444.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T06:30:00Z,2025-01-01T07:30:00+0100,3448.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
2025-01-01T06:45:00Z,2025-01-01T07:45:00+0100,3452.0,MW,ES,ES,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:47:46Z
