timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,69489.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,69489.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,69379.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,69379.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,69237.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,69237.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,69074.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,69074.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,67831.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,67831.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,66840.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,66840.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,65785.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,65785.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T03:30:00Z,2026-01-01T04:30:00+0100,65149.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T03:45:00Z,2026-01-01T04:45:00+0100,65149.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T04:00:00Z,2026-01-01T05:00:00+0100,64628.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T04:15:00Z,2026-01-01T05:15:00+0100,64628.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T04:30:00Z,2026-01-01T05:30:00+0100,64924.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T04:45:00Z,2026-01-01T05:45:00+0100,64924.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T05:00:00Z,2026-01-01T06:00:00+0100,64948.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T05:15:00Z,2026-01-01T06:15:00+0100,64948.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
2026-01-01T05:30:00Z,2026-01-01T06:30:00+0100,65601.0,MW,FR,FR,actual_load,Actual Load,2026-08-07T15:28:07Z
