timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-02T01:45:00Z,2026-01-02T02:45:00+0100,521.05,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T02:00:00Z,2026-01-02T03:00:00+0100,636.16,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T02:15:00Z,2026-01-02T03:15:00+0100,613.39,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T02:30:00Z,2026-01-02T03:30:00+0100,587.14,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T02:45:00Z,2026-01-02T03:45:00+0100,557.75,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T03:00:00Z,2026-01-02T04:00:00+0100,548.7,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T03:15:00Z,2026-01-02T04:15:00+0100,587.79,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T03:30:00Z,2026-01-02T04:30:00+0100,642.2,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T03:45:00Z,2026-01-02T04:45:00+0100,691.71,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T04:00:00Z,2026-01-02T05:00:00+0100,708.03,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T04:15:00Z,2026-01-02T05:15:00+0100,736.64,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T04:30:00Z,2026-01-02T05:30:00+0100,741.74,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T04:45:00Z,2026-01-02T05:45:00+0100,644.22,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T05:00:00Z,2026-01-02T06:00:00+0100,618.08,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T05:15:00Z,2026-01-02T06:15:00+0100,563.41,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T05:30:00Z,2026-01-02T06:30:00+0100,650.23,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T05:45:00Z,2026-01-02T06:45:00+0100,717.87,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T06:00:00Z,2026-01-02T07:00:00+0100,697.5,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T06:15:00Z,2026-01-02T07:15:00+0100,598.61,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T06:30:00Z,2026-01-02T07:30:00+0100,628.92,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T06:45:00Z,2026-01-02T07:45:00+0100,668.12,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T07:00:00Z,2026-01-02T08:00:00+0100,695.29,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T07:15:00Z,2026-01-02T08:15:00+0100,723.8,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T07:30:00Z,2026-01-02T08:30:00+0100,734.77,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T07:45:00Z,2026-01-02T08:45:00+0100,728.88,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T08:00:00Z,2026-01-02T09:00:00+0100,725.35,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T08:15:00Z,2026-01-02T09:15:00+0100,732.77,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T08:30:00Z,2026-01-02T09:30:00+0100,731.26,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T08:45:00Z,2026-01-02T09:45:00+0100,765.96,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T09:00:00Z,2026-01-02T10:00:00+0100,847.0,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T09:15:00Z,2026-01-02T10:15:00+0100,788.1,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T09:30:00Z,2026-01-02T10:30:00+0100,823.42,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T09:45:00Z,2026-01-02T10:45:00+0100,771.47,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T10:00:00Z,2026-01-02T11:00:00+0100,541.44,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T10:15:00Z,2026-01-02T11:15:00+0100,641.8,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T10:30:00Z,2026-01-02T11:30:00+0100,732.56,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T10:45:00Z,2026-01-02T11:45:00+0100,728.42,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T11:00:00Z,2026-01-02T12:00:00+0100,654.13,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T11:15:00Z,2026-01-02T12:15:00+0100,663.35,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T11:30:00Z,2026-01-02T12:30:00+0100,795.06,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T11:45:00Z,2026-01-02T12:45:00+0100,753.03,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T12:00:00Z,2026-01-02T13:00:00+0100,803.19,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T12:15:00Z,2026-01-02T13:15:00+0100,933.32,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T12:30:00Z,2026-01-02T13:30:00+0100,933.85,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T12:45:00Z,2026-01-02T13:45:00+0100,874.43,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T13:00:00Z,2026-01-02T14:00:00+0100,837.67,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T13:15:00Z,2026-01-02T14:15:00+0100,835.11,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T13:30:00Z,2026-01-02T14:30:00+0100,828.68,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T13:45:00Z,2026-01-02T14:45:00+0100,765.16,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T14:00:00Z,2026-01-02T15:00:00+0100,846.32,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
2026-01-02T14:15:00Z,2026-01-02T15:15:00+0100,928.52,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore,2026-08-07T15:36:46Z
