timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-02T01:45:00Z,2026-01-02T02:45:00+0100,521.1,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T02:00:00Z,2026-01-02T03:00:00+0100,636.22,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T02:15:00Z,2026-01-02T03:15:00+0100,613.44,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T02:30:00Z,2026-01-02T03:30:00+0100,587.2,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T02:45:00Z,2026-01-02T03:45:00+0100,557.81,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T03:00:00Z,2026-01-02T04:00:00+0100,548.75,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T03:15:00Z,2026-01-02T04:15:00+0100,587.85,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T03:30:00Z,2026-01-02T04:30:00+0100,642.26,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T03:45:00Z,2026-01-02T04:45:00+0100,691.77,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T04:00:00Z,2026-01-02T05:00:00+0100,708.08,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T04:15:00Z,2026-01-02T05:15:00+0100,736.69,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T04:30:00Z,2026-01-02T05:30:00+0100,741.8,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T04:45:00Z,2026-01-02T05:45:00+0100,644.28,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T05:00:00Z,2026-01-02T06:00:00+0100,618.13,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T05:15:00Z,2026-01-02T06:15:00+0100,563.47,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T05:30:00Z,2026-01-02T06:30:00+0100,650.29,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T05:45:00Z,2026-01-02T06:45:00+0100,717.93,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
2026-01-02T06:00:00Z,2026-01-02T07:00:00+0100,697.55,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-07T15:33:27Z
