timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,78.11,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,68.99,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,69.75,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,58.72,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,72.94,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,59.74,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,60.53,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,48.39,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,57.46,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,49.88,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,35.0,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,33.41,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,31.25,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,24.55,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T03:30:00Z,2026-01-01T04:30:00+0100,29.98,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T03:45:00Z,2026-01-01T04:45:00+0100,30.53,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T04:00:00Z,2026-01-01T05:00:00+0100,25.32,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T04:15:00Z,2026-01-01T05:15:00+0100,24.52,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T04:30:00Z,2026-01-01T05:30:00+0100,29.68,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T04:45:00Z,2026-01-01T05:45:00+0100,16.47,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T05:00:00Z,2026-01-01T06:00:00+0100,24.13,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T05:15:00Z,2026-01-01T06:15:00+0100,13.43,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T05:30:00Z,2026-01-01T06:30:00+0100,25.61,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T05:45:00Z,2026-01-01T06:45:00+0100,19.55,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T06:00:00Z,2026-01-01T07:00:00+0100,47.42,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T06:15:00Z,2026-01-01T07:15:00+0100,23.58,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T06:30:00Z,2026-01-01T07:30:00+0100,38.92,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T06:45:00Z,2026-01-01T07:45:00+0100,21.12,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T07:00:00Z,2026-01-01T08:00:00+0100,31.72,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T07:15:00Z,2026-01-01T08:15:00+0100,30.08,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T07:30:00Z,2026-01-01T08:30:00+0100,22.83,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
2026-01-01T07:45:00Z,2026-01-01T08:45:00+0100,13.91,EUR/MWh,FR,FR,day_ahead_price,value,2026-08-07T15:40:17Z
