timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,68000.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,68350.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,68700.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,68600.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,68500.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,67850.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,67200.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,66450.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,65700.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,65200.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,64700.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,64150.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,63600.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,63350.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T03:30:00Z,2026-01-01T04:30:00+0100,63100.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T03:45:00Z,2026-01-01T04:45:00+0100,63050.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T04:00:00Z,2026-01-01T05:00:00+0100,63000.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T04:15:00Z,2026-01-01T05:15:00+0100,62950.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T04:30:00Z,2026-01-01T05:30:00+0100,62900.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T04:45:00Z,2026-01-01T05:45:00+0100,62850.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T05:00:00Z,2026-01-01T06:00:00+0100,62800.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T05:15:00Z,2026-01-01T06:15:00+0100,63150.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T05:30:00Z,2026-01-01T06:30:00+0100,63500.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T05:45:00Z,2026-01-01T06:45:00+0100,63600.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T06:00:00Z,2026-01-01T07:00:00+0100,63700.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T06:15:00Z,2026-01-01T07:15:00+0100,63850.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T06:30:00Z,2026-01-01T07:30:00+0100,64000.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T06:45:00Z,2026-01-01T07:45:00+0100,64200.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T07:00:00Z,2026-01-01T08:00:00+0100,64400.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T07:15:00Z,2026-01-01T08:15:00+0100,64250.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T07:30:00Z,2026-01-01T08:30:00+0100,64100.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T07:45:00Z,2026-01-01T08:45:00+0100,64100.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T08:00:00Z,2026-01-01T09:00:00+0100,64100.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T08:15:00Z,2026-01-01T09:15:00+0100,64500.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T08:30:00Z,2026-01-01T09:30:00+0100,64900.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T08:45:00Z,2026-01-01T09:45:00+0100,65300.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T09:00:00Z,2026-01-01T10:00:00+0100,65700.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T09:15:00Z,2026-01-01T10:15:00+0100,66050.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T09:30:00Z,2026-01-01T10:30:00+0100,66400.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T09:45:00Z,2026-01-01T10:45:00+0100,66750.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T10:00:00Z,2026-01-01T11:00:00+0100,67100.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T10:15:00Z,2026-01-01T11:15:00+0100,67500.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T10:30:00Z,2026-01-01T11:30:00+0100,67900.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T10:45:00Z,2026-01-01T11:45:00+0100,68700.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T11:00:00Z,2026-01-01T12:00:00+0100,69500.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T11:15:00Z,2026-01-01T12:15:00+0100,69400.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T11:30:00Z,2026-01-01T12:30:00+0100,69300.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T11:45:00Z,2026-01-01T12:45:00+0100,69650.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T12:00:00Z,2026-01-01T13:00:00+0100,70000.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T12:15:00Z,2026-01-01T13:15:00+0100,68950.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T12:30:00Z,2026-01-01T13:30:00+0100,67900.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T12:45:00Z,2026-01-01T13:45:00+0100,67200.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T13:00:00Z,2026-01-01T14:00:00+0100,66500.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T13:15:00Z,2026-01-01T14:15:00+0100,65950.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T13:30:00Z,2026-01-01T14:30:00+0100,65400.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T13:45:00Z,2026-01-01T14:45:00+0100,64800.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T14:00:00Z,2026-01-01T15:00:00+0100,64200.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T14:15:00Z,2026-01-01T15:15:00+0100,63800.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T14:30:00Z,2026-01-01T15:30:00+0100,63400.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T14:45:00Z,2026-01-01T15:45:00+0100,63100.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T15:00:00Z,2026-01-01T16:00:00+0100,62800.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T15:15:00Z,2026-01-01T16:15:00+0100,62900.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T15:30:00Z,2026-01-01T16:30:00+0100,63000.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T15:45:00Z,2026-01-01T16:45:00+0100,63400.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T16:00:00Z,2026-01-01T17:00:00+0100,63800.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T16:15:00Z,2026-01-01T17:15:00+0100,64850.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T16:30:00Z,2026-01-01T17:30:00+0100,65900.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T16:45:00Z,2026-01-01T17:45:00+0100,66700.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T17:00:00Z,2026-01-01T18:00:00+0100,67500.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T17:15:00Z,2026-01-01T18:15:00+0100,68050.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T17:30:00Z,2026-01-01T18:30:00+0100,68600.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T17:45:00Z,2026-01-01T18:45:00+0100,69200.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T18:00:00Z,2026-01-01T19:00:00+0100,69800.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T18:15:00Z,2026-01-01T19:15:00+0100,69900.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T18:30:00Z,2026-01-01T19:30:00+0100,70000.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T18:45:00Z,2026-01-01T19:45:00+0100,69850.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T19:00:00Z,2026-01-01T20:00:00+0100,69700.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T19:15:00Z,2026-01-01T20:15:00+0100,69250.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T19:30:00Z,2026-01-01T20:30:00+0100,68800.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T19:45:00Z,2026-01-01T20:45:00+0100,68400.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T20:00:00Z,2026-01-01T21:00:00+0100,68000.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T20:15:00Z,2026-01-01T21:15:00+0100,67650.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T20:30:00Z,2026-01-01T21:30:00+0100,67300.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T20:45:00Z,2026-01-01T21:45:00+0100,66900.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T21:00:00Z,2026-01-01T22:00:00+0100,66500.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T21:15:00Z,2026-01-01T22:15:00+0100,67150.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T21:30:00Z,2026-01-01T22:30:00+0100,67800.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
2026-01-01T21:45:00Z,2026-01-01T22:45:00+0100,68650.0,MW,FR,FR,forecast_load,Forecasted Load,2026-08-07T15:28:51Z
