timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,429.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,457.75,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,472.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,478.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T04:00:00Z,2026-01-01T05:00:00+0100,496.25,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T05:00:00Z,2026-01-01T06:00:00+0100,519.75,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T06:00:00Z,2026-01-01T07:00:00+0100,522.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T07:00:00Z,2026-01-01T08:00:00+0100,534.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T08:00:00Z,2026-01-01T09:00:00+0100,545.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T09:00:00Z,2026-01-01T10:00:00+0100,575.25,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T10:00:00Z,2026-01-01T11:00:00+0100,599.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T11:00:00Z,2026-01-01T12:00:00+0100,629.75,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T12:00:00Z,2026-01-01T13:00:00+0100,672.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T13:00:00Z,2026-01-01T14:00:00+0100,723.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T14:00:00Z,2026-01-01T15:00:00+0100,715.25,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T15:00:00Z,2026-01-01T16:00:00+0100,686.25,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T16:00:00Z,2026-01-01T17:00:00+0100,624.75,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T17:00:00Z,2026-01-01T18:00:00+0100,591.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T18:00:00Z,2026-01-01T19:00:00+0100,587.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T19:00:00Z,2026-01-01T20:00:00+0100,635.75,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T20:00:00Z,2026-01-01T21:00:00+0100,678.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T21:00:00Z,2026-01-01T22:00:00+0100,690.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T22:00:00Z,2026-01-01T23:00:00+0100,678.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-01T23:00:00Z,2026-01-02T00:00:00+0100,490.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T00:00:00Z,2026-01-02T01:00:00+0100,491.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T01:00:00Z,2026-01-02T02:00:00+0100,479.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T02:00:00Z,2026-01-02T03:00:00+0100,469.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T03:00:00Z,2026-01-02T04:00:00+0100,461.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T04:00:00Z,2026-01-02T05:00:00+0100,463.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T05:00:00Z,2026-01-02T06:00:00+0100,466.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T06:00:00Z,2026-01-02T07:00:00+0100,471.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T07:00:00Z,2026-01-02T08:00:00+0100,468.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T08:00:00Z,2026-01-02T09:00:00+0100,453.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T09:00:00Z,2026-01-02T10:00:00+0100,433.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T10:00:00Z,2026-01-02T11:00:00+0100,415.5,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
2026-01-02T11:00:00Z,2026-01-02T12:00:00+0100,425.0,MW,FR,FR,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:38:35Z
