timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,3109.08008,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,3211.31738,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,3272.83374,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,3318.8313,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T04:00:00Z,2026-01-01T05:00:00+0100,3298.05762,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T05:00:00Z,2026-01-01T06:00:00+0100,3457.78882,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T06:00:00Z,2026-01-01T07:00:00+0100,3903.77148,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T07:00:00Z,2026-01-01T08:00:00+0100,4434.19971,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T08:00:00Z,2026-01-01T09:00:00+0100,4838.35742,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T09:00:00Z,2026-01-01T10:00:00+0100,4831.17383,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T10:00:00Z,2026-01-01T11:00:00+0100,4682.43213,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T11:00:00Z,2026-01-01T12:00:00+0100,4701.05762,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T12:00:00Z,2026-01-01T13:00:00+0100,4684.3125,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T13:00:00Z,2026-01-01T14:00:00+0100,4915.17334,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T14:00:00Z,2026-01-01T15:00:00+0100,5188.63477,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T15:00:00Z,2026-01-01T16:00:00+0100,6055.15625,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T16:00:00Z,2026-01-01T17:00:00+0100,6947.9375,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T17:00:00Z,2026-01-01T18:00:00+0100,7588.27344,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T18:00:00Z,2026-01-01T19:00:00+0100,8052.50098,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T19:00:00Z,2026-01-01T20:00:00+0100,8299.77051,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T20:00:00Z,2026-01-01T21:00:00+0100,8511.73828,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T21:00:00Z,2026-01-01T22:00:00+0100,8640.59766,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-01T22:00:00Z,2026-01-01T23:00:00+0100,8667.89551,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-02T23:00:00Z,2026-01-03T00:00:00+0100,3972.26367,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T00:00:00Z,2026-01-03T01:00:00+0100,3773.99902,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T01:00:00Z,2026-01-03T02:00:00+0100,3778.52539,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T02:00:00Z,2026-01-03T03:00:00+0100,3902.40479,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T03:00:00Z,2026-01-03T04:00:00+0100,4255.68994,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T04:00:00Z,2026-01-03T05:00:00+0100,4819.99414,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T05:00:00Z,2026-01-03T06:00:00+0100,5500.65869,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T06:00:00Z,2026-01-03T07:00:00+0100,6079.98291,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T07:00:00Z,2026-01-03T08:00:00+0100,6448.65039,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T08:00:00Z,2026-01-03T09:00:00+0100,6478.51367,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T09:00:00Z,2026-01-03T10:00:00+0100,6094.41016,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T10:00:00Z,2026-01-03T11:00:00+0100,5373.93359,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T11:00:00Z,2026-01-03T12:00:00+0100,5278.62598,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T12:00:00Z,2026-01-03T13:00:00+0100,5759.8501,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T13:00:00Z,2026-01-03T14:00:00+0100,6073.04883,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T14:00:00Z,2026-01-03T15:00:00+0100,5913.33252,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T15:00:00Z,2026-01-03T16:00:00+0100,5585.97217,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T16:00:00Z,2026-01-03T17:00:00+0100,5521.00732,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T17:00:00Z,2026-01-03T18:00:00+0100,5727.50781,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T18:00:00Z,2026-01-03T19:00:00+0100,5832.47754,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T19:00:00Z,2026-01-03T20:00:00+0100,5638.15137,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T20:00:00Z,2026-01-03T21:00:00+0100,5341.78271,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T21:00:00Z,2026-01-03T22:00:00+0100,5147.14014,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T22:00:00Z,2026-01-03T23:00:00+0100,4939.89404,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-03T23:00:00Z,2026-01-04T00:00:00+0100,4203.14502,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-04T00:00:00Z,2026-01-04T01:00:00+0100,3929.5376,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-04T01:00:00Z,2026-01-04T02:00:00+0100,3769.73364,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-04T02:00:00Z,2026-01-04T03:00:00+0100,3669.06641,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-04T03:00:00Z,2026-01-04T04:00:00+0100,3600.52124,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-04T04:00:00Z,2026-01-04T05:00:00+0100,3507.23511,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-04T05:00:00Z,2026-01-04T06:00:00+0100,3330.16626,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
2026-01-04T06:00:00Z,2026-01-04T07:00:00+0100,3148.94751,MW,FR,FR,forecast_onshore_wind_generation,Wind Onshore,2026-08-07T15:34:58Z
