timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2022-01-01T00:00:00Z,2022-01-01T01:00:00+0100,10326.48,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T00:15:00Z,2022-01-01T01:15:00+0100,10331.75,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T00:30:00Z,2022-01-01T01:30:00+0100,10223.21,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T00:45:00Z,2022-01-01T01:45:00+0100,10118.23,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T01:00:00Z,2022-01-01T02:00:00+0100,10033.44,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T01:15:00Z,2022-01-01T02:15:00+0100,9955.75,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T01:30:00Z,2022-01-01T02:30:00+0100,9861.22,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T01:45:00Z,2022-01-01T02:45:00+0100,9777.73,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T02:00:00Z,2022-01-01T03:00:00+0100,9869.52,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T02:15:00Z,2022-01-01T03:15:00+0100,9842.51,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T02:30:00Z,2022-01-01T03:30:00+0100,9758.2,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T02:45:00Z,2022-01-01T03:45:00+0100,9658.99,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T03:00:00Z,2022-01-01T04:00:00+0100,9663.0,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T03:15:00Z,2022-01-01T04:15:00+0100,9622.75,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T03:30:00Z,2022-01-01T04:30:00+0100,9566.56,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T03:45:00Z,2022-01-01T04:45:00+0100,9505.79,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T04:00:00Z,2022-01-01T05:00:00+0100,9514.52,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T04:15:00Z,2022-01-01T05:15:00+0100,9498.99,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T04:30:00Z,2022-01-01T05:30:00+0100,9524.02,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T04:45:00Z,2022-01-01T05:45:00+0100,9493.82,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T05:00:00Z,2022-01-01T06:00:00+0100,9629.08,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T05:15:00Z,2022-01-01T06:15:00+0100,9672.9,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T05:30:00Z,2022-01-01T06:30:00+0100,9702.19,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T05:45:00Z,2022-01-01T06:45:00+0100,9758.51,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T06:00:00Z,2022-01-01T07:00:00+0100,9822.35,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T06:15:00Z,2022-01-01T07:15:00+0100,9886.89,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T06:30:00Z,2022-01-01T07:30:00+0100,9969.01,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T06:45:00Z,2022-01-01T07:45:00+0100,10008.89,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T07:00:00Z,2022-01-01T08:00:00+0100,10102.85,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T07:15:00Z,2022-01-01T08:15:00+0100,10167.13,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T07:30:00Z,2022-01-01T08:30:00+0100,10183.55,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T07:45:00Z,2022-01-01T08:45:00+0100,10178.86,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T08:00:00Z,2022-01-01T09:00:00+0100,10277.86,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T08:15:00Z,2022-01-01T09:15:00+0100,10329.79,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T08:30:00Z,2022-01-01T09:30:00+0100,10366.07,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T08:45:00Z,2022-01-01T09:45:00+0100,10472.04,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T09:00:00Z,2022-01-01T10:00:00+0100,10574.04,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T09:15:00Z,2022-01-01T10:15:00+0100,10680.39,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T09:30:00Z,2022-01-01T10:30:00+0100,10682.65,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T09:45:00Z,2022-01-01T10:45:00+0100,10714.57,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T10:00:00Z,2022-01-01T11:00:00+0100,10717.66,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T10:15:00Z,2022-01-01T11:15:00+0100,10683.35,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T10:30:00Z,2022-01-01T11:30:00+0100,10651.54,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T10:45:00Z,2022-01-01T11:45:00+0100,10621.59,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T11:00:00Z,2022-01-01T12:00:00+0100,10537.39,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T11:15:00Z,2022-01-01T12:15:00+0100,10506.67,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T11:30:00Z,2022-01-01T12:30:00+0100,10531.35,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T11:45:00Z,2022-01-01T12:45:00+0100,10593.43,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T12:00:00Z,2022-01-01T13:00:00+0100,10662.99,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T12:15:00Z,2022-01-01T13:15:00+0100,10751.43,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T12:30:00Z,2022-01-01T13:30:00+0100,10751.34,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T12:45:00Z,2022-01-01T13:45:00+0100,10780.04,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T13:00:00Z,2022-01-01T14:00:00+0100,10871.41,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T13:15:00Z,2022-01-01T14:15:00+0100,10947.21,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T13:30:00Z,2022-01-01T14:30:00+0100,11033.16,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T13:45:00Z,2022-01-01T14:45:00+0100,11156.51,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T14:00:00Z,2022-01-01T15:00:00+0100,11241.8,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T14:15:00Z,2022-01-01T15:15:00+0100,11377.24,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T14:30:00Z,2022-01-01T15:30:00+0100,11419.73,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T14:45:00Z,2022-01-01T15:45:00+0100,11510.49,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T15:00:00Z,2022-01-01T16:00:00+0100,11558.4,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T15:15:00Z,2022-01-01T16:15:00+0100,11721.81,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T15:30:00Z,2022-01-01T16:30:00+0100,11911.85,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T15:45:00Z,2022-01-01T16:45:00+0100,12225.34,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T16:00:00Z,2022-01-01T17:00:00+0100,12547.49,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T16:15:00Z,2022-01-01T17:15:00+0100,12820.37,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T16:30:00Z,2022-01-01T17:30:00+0100,13026.2,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T16:45:00Z,2022-01-01T17:45:00+0100,13104.47,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
2022-01-01T17:00:00Z,2022-01-01T18:00:00+0100,13071.21,MW,NL,NL,actual_load,Actual Load,2026-08-05T14:52:54Z
