timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2024-01-01T00:00:00Z,2024-01-01T01:00:00+0100,0.01,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T01:00:00Z,2024-01-01T02:00:00+0100,0.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T02:00:00Z,2024-01-01T03:00:00+0100,-0.01,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T03:00:00Z,2024-01-01T04:00:00+0100,-0.03,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T04:00:00Z,2024-01-01T05:00:00+0100,-0.02,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T05:00:00Z,2024-01-01T06:00:00+0100,-0.05,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T06:00:00Z,2024-01-01T07:00:00+0100,-0.02,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T07:00:00Z,2024-01-01T08:00:00+0100,0.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T08:00:00Z,2024-01-01T09:00:00+0100,0.04,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T09:00:00Z,2024-01-01T10:00:00+0100,0.06,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T10:00:00Z,2024-01-01T11:00:00+0100,0.54,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T11:00:00Z,2024-01-01T12:00:00+0100,2.24,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T12:00:00Z,2024-01-01T13:00:00+0100,1.97,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T13:00:00Z,2024-01-01T14:00:00+0100,1.13,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T14:00:00Z,2024-01-01T15:00:00+0100,3.19,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T15:00:00Z,2024-01-01T16:00:00+0100,40.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T16:00:00Z,2024-01-01T17:00:00+0100,84.46,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T17:00:00Z,2024-01-01T18:00:00+0100,61.74,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T18:00:00Z,2024-01-01T19:00:00+0100,61.27,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T19:00:00Z,2024-01-01T20:00:00+0100,59.97,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T20:00:00Z,2024-01-01T21:00:00+0100,54.92,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T21:00:00Z,2024-01-01T22:00:00+0100,47.65,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T22:00:00Z,2024-01-01T23:00:00+0100,35.55,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-01T23:00:00Z,2024-01-02T00:00:00+0100,29.39,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T00:00:00Z,2024-01-02T01:00:00+0100,19.6,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T01:00:00Z,2024-01-02T02:00:00+0100,27.33,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T02:00:00Z,2024-01-02T03:00:00+0100,16.2,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T03:00:00Z,2024-01-02T04:00:00+0100,9.5,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T04:00:00Z,2024-01-02T05:00:00+0100,11.2,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T05:00:00Z,2024-01-02T06:00:00+0100,44.43,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T06:00:00Z,2024-01-02T07:00:00+0100,56.56,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T07:00:00Z,2024-01-02T08:00:00+0100,64.28,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T08:00:00Z,2024-01-02T09:00:00+0100,66.12,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T09:00:00Z,2024-01-02T10:00:00+0100,70.6,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T10:00:00Z,2024-01-02T11:00:00+0100,78.8,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T11:00:00Z,2024-01-02T12:00:00+0100,99.9,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T12:00:00Z,2024-01-02T13:00:00+0100,102.5,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T13:00:00Z,2024-01-02T14:00:00+0100,110.6,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T14:00:00Z,2024-01-02T15:00:00+0100,105.7,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T15:00:00Z,2024-01-02T16:00:00+0100,100.7,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T16:00:00Z,2024-01-02T17:00:00+0100,118.93,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T17:00:00Z,2024-01-02T18:00:00+0100,81.3,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T18:00:00Z,2024-01-02T19:00:00+0100,70.1,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T19:00:00Z,2024-01-02T20:00:00+0100,66.7,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T20:00:00Z,2024-01-02T21:00:00+0100,54.9,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T21:00:00Z,2024-01-02T22:00:00+0100,53.18,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T22:00:00Z,2024-01-02T23:00:00+0100,54.9,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-02T23:00:00Z,2024-01-03T00:00:00+0100,-0.39,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T00:00:00Z,2024-01-03T01:00:00+0100,-1.61,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T01:00:00Z,2024-01-03T02:00:00+0100,-1.39,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T02:00:00Z,2024-01-03T03:00:00+0100,-1.31,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T03:00:00Z,2024-01-03T04:00:00+0100,-1.39,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T04:00:00Z,2024-01-03T05:00:00+0100,-1.95,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T05:00:00Z,2024-01-03T06:00:00+0100,1.05,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T06:00:00Z,2024-01-03T07:00:00+0100,40.63,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T07:00:00Z,2024-01-03T08:00:00+0100,68.3,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T08:00:00Z,2024-01-03T09:00:00+0100,75.9,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T09:00:00Z,2024-01-03T10:00:00+0100,73.2,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T10:00:00Z,2024-01-03T11:00:00+0100,69.2,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T11:00:00Z,2024-01-03T12:00:00+0100,60.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T12:00:00Z,2024-01-03T13:00:00+0100,58.86,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T13:00:00Z,2024-01-03T14:00:00+0100,60.86,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T14:00:00Z,2024-01-03T15:00:00+0100,76.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T15:00:00Z,2024-01-03T16:00:00+0100,79.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T16:00:00Z,2024-01-03T17:00:00+0100,101.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T17:00:00Z,2024-01-03T18:00:00+0100,114.6,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T18:00:00Z,2024-01-03T19:00:00+0100,100.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T19:00:00Z,2024-01-03T20:00:00+0100,73.23,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T20:00:00Z,2024-01-03T21:00:00+0100,67.41,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T21:00:00Z,2024-01-03T22:00:00+0100,65.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T22:00:00Z,2024-01-03T23:00:00+0100,58.12,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-03T23:00:00Z,2024-01-04T00:00:00+0100,57.3,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T00:00:00Z,2024-01-04T01:00:00+0100,50.46,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T01:00:00Z,2024-01-04T02:00:00+0100,40.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T02:00:00Z,2024-01-04T03:00:00+0100,25.48,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T03:00:00Z,2024-01-04T04:00:00+0100,35.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T04:00:00Z,2024-01-04T05:00:00+0100,57.73,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T05:00:00Z,2024-01-04T06:00:00+0100,72.65,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T06:00:00Z,2024-01-04T07:00:00+0100,85.02,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T07:00:00Z,2024-01-04T08:00:00+0100,91.47,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T08:00:00Z,2024-01-04T09:00:00+0100,94.2,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T09:00:00Z,2024-01-04T10:00:00+0100,91.61,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T10:00:00Z,2024-01-04T11:00:00+0100,90.03,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T11:00:00Z,2024-01-04T12:00:00+0100,86.28,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T12:00:00Z,2024-01-04T13:00:00+0100,85.96,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T13:00:00Z,2024-01-04T14:00:00+0100,92.11,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T14:00:00Z,2024-01-04T15:00:00+0100,98.62,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T15:00:00Z,2024-01-04T16:00:00+0100,104.45,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T16:00:00Z,2024-01-04T17:00:00+0100,130.21,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T17:00:00Z,2024-01-04T18:00:00+0100,140.67,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T18:00:00Z,2024-01-04T19:00:00+0100,123.1,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T19:00:00Z,2024-01-04T20:00:00+0100,101.65,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T20:00:00Z,2024-01-04T21:00:00+0100,96.77,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T21:00:00Z,2024-01-04T22:00:00+0100,93.04,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T22:00:00Z,2024-01-04T23:00:00+0100,88.61,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-04T23:00:00Z,2024-01-05T00:00:00+0100,86.08,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T00:00:00Z,2024-01-05T01:00:00+0100,80.51,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T01:00:00Z,2024-01-05T02:00:00+0100,77.01,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T02:00:00Z,2024-01-05T03:00:00+0100,72.88,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T03:00:00Z,2024-01-05T04:00:00+0100,72.12,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T04:00:00Z,2024-01-05T05:00:00+0100,74.52,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T05:00:00Z,2024-01-05T06:00:00+0100,80.11,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T06:00:00Z,2024-01-05T07:00:00+0100,87.17,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T07:00:00Z,2024-01-05T08:00:00+0100,89.78,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T08:00:00Z,2024-01-05T09:00:00+0100,95.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T09:00:00Z,2024-01-05T10:00:00+0100,96.29,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T10:00:00Z,2024-01-05T11:00:00+0100,98.22,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T11:00:00Z,2024-01-05T12:00:00+0100,92.29,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T12:00:00Z,2024-01-05T13:00:00+0100,91.65,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T13:00:00Z,2024-01-05T14:00:00+0100,96.5,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T14:00:00Z,2024-01-05T15:00:00+0100,100.13,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T15:00:00Z,2024-01-05T16:00:00+0100,103.03,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T16:00:00Z,2024-01-05T17:00:00+0100,107.43,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T17:00:00Z,2024-01-05T18:00:00+0100,108.47,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T18:00:00Z,2024-01-05T19:00:00+0100,104.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T19:00:00Z,2024-01-05T20:00:00+0100,100.13,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T20:00:00Z,2024-01-05T21:00:00+0100,94.21,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T21:00:00Z,2024-01-05T22:00:00+0100,94.92,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T22:00:00Z,2024-01-05T23:00:00+0100,86.8,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-05T23:00:00Z,2024-01-06T00:00:00+0100,82.25,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T00:00:00Z,2024-01-06T01:00:00+0100,80.2,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T01:00:00Z,2024-01-06T02:00:00+0100,76.13,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T02:00:00Z,2024-01-06T03:00:00+0100,73.01,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T03:00:00Z,2024-01-06T04:00:00+0100,73.01,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T04:00:00Z,2024-01-06T05:00:00+0100,74.59,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T05:00:00Z,2024-01-06T06:00:00+0100,75.1,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T06:00:00Z,2024-01-06T07:00:00+0100,81.39,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T07:00:00Z,2024-01-06T08:00:00+0100,88.4,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T08:00:00Z,2024-01-06T09:00:00+0100,92.23,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T09:00:00Z,2024-01-06T10:00:00+0100,97.3,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T10:00:00Z,2024-01-06T11:00:00+0100,100.43,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T11:00:00Z,2024-01-06T12:00:00+0100,99.16,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T12:00:00Z,2024-01-06T13:00:00+0100,94.52,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T13:00:00Z,2024-01-06T14:00:00+0100,92.45,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T14:00:00Z,2024-01-06T15:00:00+0100,94.18,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T15:00:00Z,2024-01-06T16:00:00+0100,99.22,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T16:00:00Z,2024-01-06T17:00:00+0100,104.69,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T17:00:00Z,2024-01-06T18:00:00+0100,103.63,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T18:00:00Z,2024-01-06T19:00:00+0100,99.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T19:00:00Z,2024-01-06T20:00:00+0100,92.14,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T20:00:00Z,2024-01-06T21:00:00+0100,88.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T21:00:00Z,2024-01-06T22:00:00+0100,86.57,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T22:00:00Z,2024-01-06T23:00:00+0100,79.87,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-06T23:00:00Z,2024-01-07T00:00:00+0100,84.08,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T00:00:00Z,2024-01-07T01:00:00+0100,79.82,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T01:00:00Z,2024-01-07T02:00:00+0100,76.76,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T02:00:00Z,2024-01-07T03:00:00+0100,73.46,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T03:00:00Z,2024-01-07T04:00:00+0100,71.86,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T04:00:00Z,2024-01-07T05:00:00+0100,72.08,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T05:00:00Z,2024-01-07T06:00:00+0100,74.9,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T06:00:00Z,2024-01-07T07:00:00+0100,77.69,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T07:00:00Z,2024-01-07T08:00:00+0100,81.79,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T08:00:00Z,2024-01-07T09:00:00+0100,84.86,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T09:00:00Z,2024-01-07T10:00:00+0100,87.14,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T10:00:00Z,2024-01-07T11:00:00+0100,89.13,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T11:00:00Z,2024-01-07T12:00:00+0100,88.66,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T12:00:00Z,2024-01-07T13:00:00+0100,84.81,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T13:00:00Z,2024-01-07T14:00:00+0100,84.34,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T14:00:00Z,2024-01-07T15:00:00+0100,88.01,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T15:00:00Z,2024-01-07T16:00:00+0100,93.42,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T16:00:00Z,2024-01-07T17:00:00+0100,101.77,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T17:00:00Z,2024-01-07T18:00:00+0100,104.85,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T18:00:00Z,2024-01-07T19:00:00+0100,103.55,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T19:00:00Z,2024-01-07T20:00:00+0100,100.5,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T20:00:00Z,2024-01-07T21:00:00+0100,93.31,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T21:00:00Z,2024-01-07T22:00:00+0100,91.17,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T22:00:00Z,2024-01-07T23:00:00+0100,83.86,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-07T23:00:00Z,2024-01-08T00:00:00+0100,87.02,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-08T00:00:00Z,2024-01-08T01:00:00+0100,84.35,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-08T01:00:00Z,2024-01-08T02:00:00+0100,81.71,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-08T02:00:00Z,2024-01-08T03:00:00+0100,79.0,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-08T03:00:00Z,2024-01-08T04:00:00+0100,78.47,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-08T04:00:00Z,2024-01-08T05:00:00+0100,82.1,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
2024-01-08T05:00:00Z,2024-01-08T06:00:00+0100,94.3,EUR/MWh,NL,NL,day_ahead_price,value,2026-08-05T16:14:39Z
