timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-01T00:00:00Z,2026-01-01T01:00:00+0100,1234.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T00:15:00Z,2026-01-01T01:15:00+0100,1257.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T00:30:00Z,2026-01-01T01:30:00+0100,1273.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T00:45:00Z,2026-01-01T01:45:00+0100,1289.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T01:00:00Z,2026-01-01T02:00:00+0100,1305.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T01:15:00Z,2026-01-01T02:15:00+0100,1318.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T01:30:00Z,2026-01-01T02:30:00+0100,1329.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T01:45:00Z,2026-01-01T02:45:00+0100,1340.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T02:00:00Z,2026-01-01T03:00:00+0100,1351.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T02:15:00Z,2026-01-01T03:15:00+0100,1358.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T02:30:00Z,2026-01-01T03:30:00+0100,1361.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T02:45:00Z,2026-01-01T03:45:00+0100,1364.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T03:00:00Z,2026-01-01T04:00:00+0100,1367.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
2026-01-01T03:15:00Z,2026-01-01T04:15:00+0100,1369.0,MW,NL,NL,forecast_offshore_wind_generation,Wind Offshore,2026-08-07T15:57:32Z
