timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2024-01-01T00:00:00Z,2024-01-01T01:00:00+0100,5135.2,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T01:00:00Z,2024-01-01T02:00:00+0100,4962.5,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T02:00:00Z,2024-01-01T03:00:00+0100,4684.2,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T03:00:00Z,2024-01-01T04:00:00+0100,4413.7,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T04:00:00Z,2024-01-01T05:00:00+0100,4247.7,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T05:00:00Z,2024-01-01T06:00:00+0100,4171.6,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T06:00:00Z,2024-01-01T07:00:00+0100,4159.8,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T07:00:00Z,2024-01-01T08:00:00+0100,4131.0,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T08:00:00Z,2024-01-01T09:00:00+0100,4160.6,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T09:00:00Z,2024-01-01T10:00:00+0100,4402.0,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T10:00:00Z,2024-01-01T11:00:00+0100,4723.4,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T11:00:00Z,2024-01-01T12:00:00+0100,5096.4,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
2024-01-01T12:00:00Z,2024-01-01T13:00:00+0100,5330.1,MW,PT,PT,actual_load,Actual Load,2026-08-05T20:53:36Z
