timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2024-01-01T00:00:00Z,2024-01-01T01:00:00+0100,339.6,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T01:00:00Z,2024-01-01T02:00:00+0100,411.1,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T02:00:00Z,2024-01-01T03:00:00+0100,485.0,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T03:00:00Z,2024-01-01T04:00:00+0100,507.9,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T04:00:00Z,2024-01-01T05:00:00+0100,533.4,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T05:00:00Z,2024-01-01T06:00:00+0100,554.7,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T06:00:00Z,2024-01-01T07:00:00+0100,440.8,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T07:00:00Z,2024-01-01T08:00:00+0100,331.2,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T08:00:00Z,2024-01-01T09:00:00+0100,319.1,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T09:00:00Z,2024-01-01T10:00:00+0100,280.9,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T10:00:00Z,2024-01-01T11:00:00+0100,292.5,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T11:00:00Z,2024-01-01T12:00:00+0100,391.8,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T12:00:00Z,2024-01-01T13:00:00+0100,514.2,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T13:00:00Z,2024-01-01T14:00:00+0100,608.8,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T14:00:00Z,2024-01-01T15:00:00+0100,639.4,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
2024-01-01T15:00:00Z,2024-01-01T16:00:00+0100,696.7,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-08-05T20:58:40Z
