timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2023-01-01T00:00:00Z,2023-01-01T01:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T01:00:00Z,2023-01-01T02:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T02:00:00Z,2023-01-01T03:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T03:00:00Z,2023-01-01T04:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T04:00:00Z,2023-01-01T05:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T05:00:00Z,2023-01-01T06:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T06:00:00Z,2023-01-01T07:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T07:00:00Z,2023-01-01T08:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T08:00:00Z,2023-01-01T09:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T09:00:00Z,2023-01-01T10:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T10:00:00Z,2023-01-01T11:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T11:00:00Z,2023-01-01T12:00:00+0100,0.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T12:00:00Z,2023-01-01T13:00:00+0100,0.1,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T13:00:00Z,2023-01-01T14:00:00+0100,0.1,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T14:00:00Z,2023-01-01T15:00:00+0100,0.01,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T15:00:00Z,2023-01-01T16:00:00+0100,1.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T16:00:00Z,2023-01-01T17:00:00+0100,4.16,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T17:00:00Z,2023-01-01T18:00:00+0100,15.1,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T18:00:00Z,2023-01-01T19:00:00+0100,19.51,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T19:00:00Z,2023-01-01T20:00:00+0100,24.61,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T20:00:00Z,2023-01-01T21:00:00+0100,40.07,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T21:00:00Z,2023-01-01T22:00:00+0100,40.07,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T22:00:00Z,2023-01-01T23:00:00+0100,16.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-01T23:00:00Z,2023-01-02T00:00:00+0100,61.38,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T00:00:00Z,2023-01-02T01:00:00+0100,42.17,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T01:00:00Z,2023-01-02T02:00:00+0100,42.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T02:00:00Z,2023-01-02T03:00:00+0100,42.07,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T03:00:00Z,2023-01-02T04:00:00+0100,42.17,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T04:00:00Z,2023-01-02T05:00:00+0100,63.22,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T05:00:00Z,2023-01-02T06:00:00+0100,85.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T06:00:00Z,2023-01-02T07:00:00+0100,105.36,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T07:00:00Z,2023-01-02T08:00:00+0100,119.46,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T08:00:00Z,2023-01-02T09:00:00+0100,120.14,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T09:00:00Z,2023-01-02T10:00:00+0100,121.21,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T10:00:00Z,2023-01-02T11:00:00+0100,125.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T11:00:00Z,2023-01-02T12:00:00+0100,126.75,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T12:00:00Z,2023-01-02T13:00:00+0100,126.75,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T13:00:00Z,2023-01-02T14:00:00+0100,128.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T14:00:00Z,2023-01-02T15:00:00+0100,128.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T15:00:00Z,2023-01-02T16:00:00+0100,129.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T16:00:00Z,2023-01-02T17:00:00+0100,140.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T17:00:00Z,2023-01-02T18:00:00+0100,174.74,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T18:00:00Z,2023-01-02T19:00:00+0100,165.76,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T19:00:00Z,2023-01-02T20:00:00+0100,153.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T20:00:00Z,2023-01-02T21:00:00+0100,141.67,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T21:00:00Z,2023-01-02T22:00:00+0100,134.91,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T22:00:00Z,2023-01-02T23:00:00+0100,124.22,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-02T23:00:00Z,2023-01-03T00:00:00+0100,130.01,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T00:00:00Z,2023-01-03T01:00:00+0100,120.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T01:00:00Z,2023-01-03T02:00:00+0100,118.76,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T02:00:00Z,2023-01-03T03:00:00+0100,115.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T03:00:00Z,2023-01-03T04:00:00+0100,113.63,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T04:00:00Z,2023-01-03T05:00:00+0100,116.27,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T05:00:00Z,2023-01-03T06:00:00+0100,138.92,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T06:00:00Z,2023-01-03T07:00:00+0100,142.11,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T07:00:00Z,2023-01-03T08:00:00+0100,148.56,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T08:00:00Z,2023-01-03T09:00:00+0100,158.89,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T09:00:00Z,2023-01-03T10:00:00+0100,154.9,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T10:00:00Z,2023-01-03T11:00:00+0100,146.71,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T11:00:00Z,2023-01-03T12:00:00+0100,133.33,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T12:00:00Z,2023-01-03T13:00:00+0100,130.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T13:00:00Z,2023-01-03T14:00:00+0100,126.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T14:00:00Z,2023-01-03T15:00:00+0100,120.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T15:00:00Z,2023-01-03T16:00:00+0100,135.56,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T16:00:00Z,2023-01-03T17:00:00+0100,156.3,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T17:00:00Z,2023-01-03T18:00:00+0100,169.01,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T18:00:00Z,2023-01-03T19:00:00+0100,160.99,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T19:00:00Z,2023-01-03T20:00:00+0100,152.1,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T20:00:00Z,2023-01-03T21:00:00+0100,149.92,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T21:00:00Z,2023-01-03T22:00:00+0100,132.53,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T22:00:00Z,2023-01-03T23:00:00+0100,115.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-03T23:00:00Z,2023-01-04T00:00:00+0100,119.99,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T00:00:00Z,2023-01-04T01:00:00+0100,100.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T01:00:00Z,2023-01-04T02:00:00+0100,90.23,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T02:00:00Z,2023-01-04T03:00:00+0100,84.2,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T03:00:00Z,2023-01-04T04:00:00+0100,80.23,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T04:00:00Z,2023-01-04T05:00:00+0100,87.31,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T05:00:00Z,2023-01-04T06:00:00+0100,109.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T06:00:00Z,2023-01-04T07:00:00+0100,105.1,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T07:00:00Z,2023-01-04T08:00:00+0100,134.16,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T08:00:00Z,2023-01-04T09:00:00+0100,129.3,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T09:00:00Z,2023-01-04T10:00:00+0100,120.7,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T10:00:00Z,2023-01-04T11:00:00+0100,96.77,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T11:00:00Z,2023-01-04T12:00:00+0100,105.03,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T12:00:00Z,2023-01-04T13:00:00+0100,106.0,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T13:00:00Z,2023-01-04T14:00:00+0100,105.07,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T14:00:00Z,2023-01-04T15:00:00+0100,103.9,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T15:00:00Z,2023-01-04T16:00:00+0100,107.98,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T16:00:00Z,2023-01-04T17:00:00+0100,129.82,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T17:00:00Z,2023-01-04T18:00:00+0100,167.29,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T18:00:00Z,2023-01-04T19:00:00+0100,160.6,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T19:00:00Z,2023-01-04T20:00:00+0100,151.55,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T20:00:00Z,2023-01-04T21:00:00+0100,140.61,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T21:00:00Z,2023-01-04T22:00:00+0100,126.58,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T22:00:00Z,2023-01-04T23:00:00+0100,104.75,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-04T23:00:00Z,2023-01-05T00:00:00+0100,95.05,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T00:00:00Z,2023-01-05T01:00:00+0100,79.21,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T01:00:00Z,2023-01-05T02:00:00+0100,68.07,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T02:00:00Z,2023-01-05T03:00:00+0100,64.27,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T03:00:00Z,2023-01-05T04:00:00+0100,61.97,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T04:00:00Z,2023-01-05T05:00:00+0100,65.1,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T05:00:00Z,2023-01-05T06:00:00+0100,95.05,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T06:00:00Z,2023-01-05T07:00:00+0100,108.23,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T07:00:00Z,2023-01-05T08:00:00+0100,118.9,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T08:00:00Z,2023-01-05T09:00:00+0100,123.27,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T09:00:00Z,2023-01-05T10:00:00+0100,104.97,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T10:00:00Z,2023-01-05T11:00:00+0100,113.53,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T11:00:00Z,2023-01-05T12:00:00+0100,100.82,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
2023-01-05T12:00:00Z,2023-01-05T13:00:00+0100,96.44,EUR/MWh,PT,PT,day_ahead_price,value,2026-08-05T21:06:20Z
