timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2024-01-01T00:00:00Z,2024-01-01T01:00:00+0100,349.0,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T01:00:00Z,2024-01-01T02:00:00+0100,356.0,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T02:00:00Z,2024-01-01T03:00:00+0100,376.6,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T03:00:00Z,2024-01-01T04:00:00+0100,383.5,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T04:00:00Z,2024-01-01T05:00:00+0100,376.9,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T05:00:00Z,2024-01-01T06:00:00+0100,373.9,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T06:00:00Z,2024-01-01T07:00:00+0100,363.0,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T07:00:00Z,2024-01-01T08:00:00+0100,346.3,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T08:00:00Z,2024-01-01T09:00:00+0100,342.2,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T09:00:00Z,2024-01-01T10:00:00+0100,346.3,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T10:00:00Z,2024-01-01T11:00:00+0100,372.9,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T11:00:00Z,2024-01-01T12:00:00+0100,441.0,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T12:00:00Z,2024-01-01T13:00:00+0100,535.0,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T13:00:00Z,2024-01-01T14:00:00+0100,617.8,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T14:00:00Z,2024-01-01T15:00:00+0100,672.3,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T15:00:00Z,2024-01-01T16:00:00+0100,729.6,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
2024-01-01T16:00:00Z,2024-01-01T17:00:00+0100,809.7,MW,PT,PT,forecast_onshore_wind_generation,Wind Onshore,2026-08-05T20:59:23Z
