timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2022-01-01T00:00:00Z,2022-01-01T01:00:00+0100,56.5,EUR/MWh,PT,PT,imbalance_price,Long,2026-08-05T21:08:08Z
2022-01-01T00:00:00Z,2022-01-01T01:00:00+0100,183.98,EUR/MWh,PT,PT,imbalance_price,Short,2026-08-05T21:08:08Z
2022-01-01T01:00:00Z,2022-01-01T02:00:00+0100,101.04,EUR/MWh,PT,PT,imbalance_price,Long,2026-08-05T21:08:08Z
2022-01-01T01:00:00Z,2022-01-01T02:00:00+0100,128.72,EUR/MWh,PT,PT,imbalance_price,Short,2026-08-05T21:08:08Z
2022-01-01T02:00:00Z,2022-01-01T03:00:00+0100,68.25,EUR/MWh,PT,PT,imbalance_price,Long,2026-08-05T21:08:08Z
2022-01-01T02:00:00Z,2022-01-01T03:00:00+0100,132.48,EUR/MWh,PT,PT,imbalance_price,Short,2026-08-05T21:08:08Z
2022-01-01T03:00:00Z,2022-01-01T04:00:00+0100,85.79,EUR/MWh,PT,PT,imbalance_price,Long,2026-08-05T21:08:08Z
2022-01-01T03:00:00Z,2022-01-01T04:00:00+0100,110.02,EUR/MWh,PT,PT,imbalance_price,Short,2026-08-05T21:08:08Z
2022-01-01T04:00:00Z,2022-01-01T05:00:00+0100,89.52,EUR/MWh,PT,PT,imbalance_price,Long,2026-08-05T21:08:08Z
2022-01-01T04:00:00Z,2022-01-01T05:00:00+0100,99.59,EUR/MWh,PT,PT,imbalance_price,Short,2026-08-05T21:08:08Z
2022-01-01T05:00:00Z,2022-01-01T06:00:00+0100,90.93,EUR/MWh,PT,PT,imbalance_price,Long,2026-08-05T21:08:08Z
2022-01-01T05:00:00Z,2022-01-01T06:00:00+0100,101.78,EUR/MWh,PT,PT,imbalance_price,Short,2026-08-05T21:08:08Z
2022-01-01T06:00:00Z,2022-01-01T07:00:00+0100,82.43,EUR/MWh,PT,PT,imbalance_price,Long,2026-08-05T21:08:08Z
2022-01-01T06:00:00Z,2022-01-01T07:00:00+0100,105.77,EUR/MWh,PT,PT,imbalance_price,Short,2026-08-05T21:08:08Z
2022-01-01T07:00:00Z,2022-01-01T08:00:00+0100,54.66,EUR/MWh,PT,PT,imbalance_price,Long,2026-08-05T21:08:08Z
