collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T08:00:00Z,2026-06-17T10:00:00+0200,1119.3725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T09:00:00Z,2026-06-17T11:00:00+0200,902.54,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T10:00:00Z,2026-06-17T12:00:00+0200,978.07,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T11:00:00Z,2026-06-17T13:00:00+0200,1265.6475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T12:00:00Z,2026-06-17T14:00:00+0200,1549.6725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T13:00:00Z,2026-06-17T15:00:00+0200,1727.7325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T14:00:00Z,2026-06-17T16:00:00+0200,1709.9025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T15:00:00Z,2026-06-17T17:00:00+0200,1787.8775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T16:00:00Z,2026-06-17T18:00:00+0200,1927.52,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T17:00:00Z,2026-06-17T19:00:00+0200,1947.2425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T18:00:00Z,2026-06-17T20:00:00+0200,1879.67,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T19:00:00Z,2026-06-17T21:00:00+0200,1612.6275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T20:00:00Z,2026-06-17T22:00:00+0200,1263.4025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T21:00:00Z,2026-06-17T23:00:00+0200,769.365,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T22:00:00Z,2026-06-18T00:00:00+0200,562.545,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-17T23:00:00Z,2026-06-18T01:00:00+0200,498.795,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T00:00:00Z,2026-06-18T02:00:00+0200,377.525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T01:00:00Z,2026-06-18T03:00:00+0200,241.73,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T02:00:00Z,2026-06-18T04:00:00+0200,182.36,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T03:00:00Z,2026-06-18T05:00:00+0200,74.6525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
