collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-02T21:00:00Z,2026-09-02T23:00:00+0200,2074.455,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-02T22:00:00Z,2026-09-03T00:00:00+0200,2089.2775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-02T23:00:00Z,2026-09-03T01:00:00+0200,2047.095,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T00:00:00Z,2026-09-03T02:00:00+0200,2039.58,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T01:00:00Z,2026-09-03T03:00:00+0200,2042.1975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T02:00:00Z,2026-09-03T04:00:00+0200,2071.6475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T03:00:00Z,2026-09-03T05:00:00+0200,2063.7125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T04:00:00Z,2026-09-03T06:00:00+0200,2101.92,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T05:00:00Z,2026-09-03T07:00:00+0200,2101.595,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T06:00:00Z,2026-09-03T08:00:00+0200,1951.2225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T07:00:00Z,2026-09-03T09:00:00+0200,1940.6475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T08:00:00Z,2026-09-03T10:00:00+0200,2092.19,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T09:00:00Z,2026-09-03T11:00:00+0200,2084.815,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T10:00:00Z,2026-09-03T12:00:00+0200,1898.7025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T11:00:00Z,2026-09-03T13:00:00+0200,1816.1575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T12:00:00Z,2026-09-03T14:00:00+0200,1866.07,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T13:00:00Z,2026-09-03T15:00:00+0200,1849.25,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T14:00:00Z,2026-09-03T16:00:00+0200,1849.94,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T15:00:00Z,2026-09-03T17:00:00+0200,2010.86,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T16:00:00Z,2026-09-03T18:00:00+0200,2113.0075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T17:00:00Z,2026-09-03T19:00:00+0200,2120.265,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T18:00:00Z,2026-09-03T20:00:00+0200,2116.1375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T19:00:00Z,2026-09-03T21:00:00+0200,2122.76,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T20:00:00Z,2026-09-03T22:00:00+0200,2125.12,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T21:00:00Z,2026-09-03T23:00:00+0200,2121.4525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T22:00:00Z,2026-09-04T00:00:00+0200,2119.425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-03T23:00:00Z,2026-09-04T01:00:00+0200,2117.8825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T00:00:00Z,2026-09-04T02:00:00+0200,2120.94,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T01:00:00Z,2026-09-04T03:00:00+0200,2116.4875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T02:00:00Z,2026-09-04T04:00:00+0200,2116.275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T03:00:00Z,2026-09-04T05:00:00+0200,2115.7675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T04:00:00Z,2026-09-04T06:00:00+0200,2117.485,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T05:00:00Z,2026-09-04T07:00:00+0200,2113.9575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T06:00:00Z,2026-09-04T08:00:00+0200,2110.8125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T07:00:00Z,2026-09-04T09:00:00+0200,2106.8825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T08:00:00Z,2026-09-04T10:00:00+0200,2106.795,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T09:00:00Z,2026-09-04T11:00:00+0200,2078.22,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T10:00:00Z,2026-09-04T12:00:00+0200,1993.795,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T11:00:00Z,2026-09-04T13:00:00+0200,1590.005,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
2026-09-09T20:55:11Z,2026-09-09T22:55:11+0200,54c4c2f3-6b93-40fc-9c0e-70660e48fd34,2026-09-04T12:00:00Z,2026-09-04T14:00:00+0200,1431.4275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-09T20:59:13Z
