collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T08:00:00Z,2026-09-03T10:00:00+0200,1618.156422,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T09:00:00Z,2026-09-03T11:00:00+0200,1665.344286,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T10:00:00Z,2026-09-03T12:00:00+0200,1691.977949,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T11:00:00Z,2026-09-03T13:00:00+0200,1634.199324,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T12:00:00Z,2026-09-03T14:00:00+0200,1650.445936,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T13:00:00Z,2026-09-03T15:00:00+0200,1655.784846,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T14:00:00Z,2026-09-03T16:00:00+0200,1555.327236,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T15:00:00Z,2026-09-03T17:00:00+0200,1282.115327,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T16:00:00Z,2026-09-03T18:00:00+0200,1294.088105,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T17:00:00Z,2026-09-03T19:00:00+0200,1102.628077,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T18:00:00Z,2026-09-03T20:00:00+0200,936.944007,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T19:00:00Z,2026-09-03T21:00:00+0200,1163.772643,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T20:00:00Z,2026-09-03T22:00:00+0200,1271.803203,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T21:00:00Z,2026-09-03T23:00:00+0200,1310.274801,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T22:00:00Z,2026-09-04T00:00:00+0200,1449.065216,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-03T23:00:00Z,2026-09-04T01:00:00+0200,1546.405911,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T00:00:00Z,2026-09-04T02:00:00+0200,1548.419746,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T01:00:00Z,2026-09-04T03:00:00+0200,1567.773289,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T02:00:00Z,2026-09-04T04:00:00+0200,1511.550527,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T03:00:00Z,2026-09-04T05:00:00+0200,1614.666966,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T04:00:00Z,2026-09-04T06:00:00+0200,1663.926391,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T05:00:00Z,2026-09-04T07:00:00+0200,1692.955689,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T06:00:00Z,2026-09-04T08:00:00+0200,1833.338247,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T07:00:00Z,2026-09-04T09:00:00+0200,2001.329887,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T08:00:00Z,2026-09-04T10:00:00+0200,2237.036776,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T09:00:00Z,2026-09-04T11:00:00+0200,2377.690949,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T10:00:00Z,2026-09-04T12:00:00+0200,2545.43355,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T11:00:00Z,2026-09-04T13:00:00+0200,2508.193605,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T12:00:00Z,2026-09-04T14:00:00+0200,2406.56327,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
2026-09-10T07:54:11Z,2026-09-10T09:54:11+0200,d408aafc-e5dd-40ff-8945-067c5ffb6ce3,2026-09-04T13:00:00Z,2026-09-04T15:00:00+0200,2009.644399,MW,BE,BE,actual_onshore_wind_generation,Wind Onshore,2026-09-10T07:57:14Z
