collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T05:15:00Z,2026-09-08T07:15:00+0200,224.12,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T05:30:00Z,2026-09-08T07:30:00+0200,217.31,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T05:45:00Z,2026-09-08T07:45:00+0200,213.47,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T06:00:00Z,2026-09-08T08:00:00+0200,230.01,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T06:15:00Z,2026-09-08T08:15:00+0200,215.61,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T06:30:00Z,2026-09-08T08:30:00+0200,199.98,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T06:45:00Z,2026-09-08T08:45:00+0200,157.34,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T07:00:00Z,2026-09-08T09:00:00+0200,199.88,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T07:15:00Z,2026-09-08T09:15:00+0200,174.17,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T07:30:00Z,2026-09-08T09:30:00+0200,152.17,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T07:45:00Z,2026-09-08T09:45:00+0200,126.24,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T08:00:00Z,2026-09-08T10:00:00+0200,167.32,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T08:15:00Z,2026-09-08T10:15:00+0200,155.91,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T08:30:00Z,2026-09-08T10:30:00+0200,130.94,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T08:45:00Z,2026-09-08T10:45:00+0200,136.67,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T09:00:00Z,2026-09-08T11:00:00+0200,148.69,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T09:15:00Z,2026-09-08T11:15:00+0200,106.43,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T09:30:00Z,2026-09-08T11:30:00+0200,94.0,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T09:45:00Z,2026-09-08T11:45:00+0200,125.0,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T10:00:00Z,2026-09-08T12:00:00+0200,143.12,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T10:15:00Z,2026-09-08T12:15:00+0200,102.46,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T10:30:00Z,2026-09-08T12:30:00+0200,84.77,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T10:45:00Z,2026-09-08T12:45:00+0200,74.62,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T11:00:00Z,2026-09-08T13:00:00+0200,76.0,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T11:15:00Z,2026-09-08T13:15:00+0200,77.0,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T11:30:00Z,2026-09-08T13:30:00+0200,95.42,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T11:45:00Z,2026-09-08T13:45:00+0200,113.5,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T12:00:00Z,2026-09-08T14:00:00+0200,100.0,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T12:15:00Z,2026-09-08T14:15:00+0200,107.4,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T12:30:00Z,2026-09-08T14:30:00+0200,122.47,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T12:45:00Z,2026-09-08T14:45:00+0200,143.41,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T13:00:00Z,2026-09-08T15:00:00+0200,105.96,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
2026-09-15T04:59:58Z,2026-09-15T06:59:58+0200,ecf31ba6-001d-4c9e-88a0-f83d4f8f2bd9,2026-09-08T13:15:00Z,2026-09-08T15:15:00+0200,143.02,EUR/MWh,BE,BE,day_ahead_price,value,2026-09-15T05:02:45Z
