collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T19:00:00Z,2026-09-05T21:00:00+0200,8487.02,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T19:15:00Z,2026-09-05T21:15:00+0200,8483.29,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T19:30:00Z,2026-09-05T21:30:00+0200,8431.21,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T19:45:00Z,2026-09-05T21:45:00+0200,8446.61,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T20:00:00Z,2026-09-05T22:00:00+0200,8208.17,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T20:15:00Z,2026-09-05T22:15:00+0200,8269.19,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T20:30:00Z,2026-09-05T22:30:00+0200,8222.45,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T20:45:00Z,2026-09-05T22:45:00+0200,8198.35,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T21:00:00Z,2026-09-05T23:00:00+0200,8120.82,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T21:15:00Z,2026-09-05T23:15:00+0200,7991.4,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T21:30:00Z,2026-09-05T23:30:00+0200,7890.46,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T21:45:00Z,2026-09-05T23:45:00+0200,7783.5,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T22:00:00Z,2026-09-06T00:00:00+0200,7554.19,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T22:15:00Z,2026-09-06T00:15:00+0200,7497.96,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T22:30:00Z,2026-09-06T00:30:00+0200,7449.69,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T22:45:00Z,2026-09-06T00:45:00+0200,7421.37,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T23:00:00Z,2026-09-06T01:00:00+0200,7333.21,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T23:15:00Z,2026-09-06T01:15:00+0200,7290.09,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T23:30:00Z,2026-09-06T01:30:00+0200,7092.14,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-05T23:45:00Z,2026-09-06T01:45:00+0200,7008.94,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-06T00:00:00Z,2026-09-06T02:00:00+0200,7059.03,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
2026-09-12T18:47:40Z,2026-09-12T20:47:40+0200,0830df87-043d-4360-8c85-cb05e4853394,2026-09-06T00:15:00Z,2026-09-06T02:15:00+0200,7010.11,MW,BE,BE,forecast_load,Forecasted Load,2026-09-12T18:48:04Z
