collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-26T22:15:00Z,2026-06-27T00:15:00+0200,323.483,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-26T22:30:00Z,2026-06-27T00:30:00+0200,333.244,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-26T22:45:00Z,2026-06-27T00:45:00+0200,306.581,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-26T23:00:00Z,2026-06-27T01:00:00+0200,314.746,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-26T23:15:00Z,2026-06-27T01:15:00+0200,349.556,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-26T23:30:00Z,2026-06-27T01:30:00+0200,360.293,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-26T23:45:00Z,2026-06-27T01:45:00+0200,363.262,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-27T00:00:00Z,2026-06-27T02:00:00+0200,368.685,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-27T00:15:00Z,2026-06-27T02:15:00+0200,373.63,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-27T00:30:00Z,2026-06-27T02:30:00+0200,386.981,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
2026-07-27T22:05:15Z,2026-07-28T00:05:15+0200,69d6fa9d-b94d-4189-8bba-048de39f5c53,2026-06-27T00:45:00Z,2026-06-27T02:45:00+0200,387.58,MW,DK1,DK_1,actual_onshore_wind_generation,Wind Onshore,2026-07-27T22:14:23Z
