collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T15:15:00Z,2026-09-16T17:15:00+0200,1.95,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T15:30:00Z,2026-09-16T17:30:00+0200,5.1,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T15:45:00Z,2026-09-16T17:45:00+0200,6.07,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T16:00:00Z,2026-09-16T18:00:00+0200,1.08,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T16:15:00Z,2026-09-16T18:15:00+0200,12.55,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T16:30:00Z,2026-09-16T18:30:00+0200,38.55,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T16:45:00Z,2026-09-16T18:45:00+0200,90.65,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T17:00:00Z,2026-09-16T19:00:00+0200,90.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T17:15:00Z,2026-09-16T19:15:00+0200,119.01,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T17:30:00Z,2026-09-16T19:30:00+0200,130.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T17:45:00Z,2026-09-16T19:45:00+0200,180.3,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T18:00:00Z,2026-09-16T20:00:00+0200,180.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T18:15:00Z,2026-09-16T20:15:00+0200,194.24,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T18:30:00Z,2026-09-16T20:30:00+0200,196.12,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T18:45:00Z,2026-09-16T20:45:00+0200,196.18,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T19:00:00Z,2026-09-16T21:00:00+0200,196.12,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T19:15:00Z,2026-09-16T21:15:00+0200,195.18,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T19:30:00Z,2026-09-16T21:30:00+0200,194.24,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T19:45:00Z,2026-09-16T21:45:00+0200,189.66,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T20:00:00Z,2026-09-16T22:00:00+0200,174.73,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T20:15:00Z,2026-09-16T22:15:00+0200,168.99,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T20:30:00Z,2026-09-16T22:30:00+0200,152.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T20:45:00Z,2026-09-16T22:45:00+0200,150.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T21:00:00Z,2026-09-16T23:00:00+0200,152.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T21:15:00Z,2026-09-16T23:15:00+0200,150.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T21:30:00Z,2026-09-16T23:30:00+0200,135.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T21:45:00Z,2026-09-16T23:45:00+0200,127.66,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T22:00:00Z,2026-09-17T00:00:00+0200,188.57,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T22:15:00Z,2026-09-17T00:15:00+0200,177.0,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
2026-09-23T15:03:55Z,2026-09-23T17:03:55+0200,862b5498-0c8c-443c-a749-7adc0d6f9b98,2026-09-16T22:30:00Z,2026-09-17T00:30:00+0200,169.23,EUR/MWh,ES,ES,day_ahead_price,value,2026-09-23T15:07:33Z
