collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T02:15:00Z,2026-09-17T04:15:00+0200,22974.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T02:30:00Z,2026-09-17T04:30:00+0200,22972.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T02:45:00Z,2026-09-17T04:45:00+0200,23019.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T03:00:00Z,2026-09-17T05:00:00+0200,22907.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T03:15:00Z,2026-09-17T05:15:00+0200,23149.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T03:30:00Z,2026-09-17T05:30:00+0200,23529.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T03:45:00Z,2026-09-17T05:45:00+0200,24045.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T04:00:00Z,2026-09-17T06:00:00+0200,24533.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T04:15:00Z,2026-09-17T06:15:00+0200,25272.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T04:30:00Z,2026-09-17T06:30:00+0200,26095.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T04:45:00Z,2026-09-17T06:45:00+0200,26935.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T05:00:00Z,2026-09-17T07:00:00+0200,28056.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T05:15:00Z,2026-09-17T07:15:00+0200,28707.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T05:30:00Z,2026-09-17T07:30:00+0200,29165.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T05:45:00Z,2026-09-17T07:45:00+0200,29465.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T06:00:00Z,2026-09-17T08:00:00+0200,29731.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T06:15:00Z,2026-09-17T08:15:00+0200,29888.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T06:30:00Z,2026-09-17T08:30:00+0200,30047.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T06:45:00Z,2026-09-17T08:45:00+0200,30203.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
2026-09-24T02:11:16Z,2026-09-24T04:11:16+0200,7bb04097-5a55-4109-a5a0-c948a08fb735,2026-09-17T07:00:00Z,2026-09-17T09:00:00+0200,30421.0,MW,ES,ES,forecast_load,Forecasted Load,2026-09-24T02:11:45Z
