collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T13:15:00Z,2026-09-12T15:15:00+0200,84.07,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T13:30:00Z,2026-09-12T15:30:00+0200,80.33,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T13:45:00Z,2026-09-12T15:45:00+0200,74.1,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T14:00:00Z,2026-09-12T16:00:00+0200,86.19,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T14:15:00Z,2026-09-12T16:15:00+0200,86.47,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T14:30:00Z,2026-09-12T16:30:00+0200,86.87,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T14:45:00Z,2026-09-12T16:45:00+0200,100.23,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T15:00:00Z,2026-09-12T17:00:00+0200,98.94,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T15:15:00Z,2026-09-12T17:15:00+0200,75.63,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T15:30:00Z,2026-09-12T17:30:00+0200,50.0,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T15:45:00Z,2026-09-12T17:45:00+0200,50.08,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T16:00:00Z,2026-09-12T18:00:00+0200,67.54,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T16:15:00Z,2026-09-12T18:15:00+0200,71.71,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T16:30:00Z,2026-09-12T18:30:00+0200,52.53,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T16:45:00Z,2026-09-12T18:45:00+0200,46.7,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T17:00:00Z,2026-09-12T19:00:00+0200,49.26,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-12T17:15:00Z,2026-09-12T19:15:00+0200,69.28,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
