collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T20:30:00Z,2026-09-02T22:30:00+0200,1940.41,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T20:45:00Z,2026-09-02T22:45:00+0200,2087.78,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T21:00:00Z,2026-09-02T23:00:00+0200,2195.3,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T21:15:00Z,2026-09-02T23:15:00+0200,2281.53,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T21:30:00Z,2026-09-02T23:30:00+0200,2327.86,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T21:45:00Z,2026-09-02T23:45:00+0200,2477.5,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T22:00:00Z,2026-09-03T00:00:00+0200,2556.52,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T22:15:00Z,2026-09-03T00:15:00+0200,2574.68,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T22:30:00Z,2026-09-03T00:30:00+0200,2656.43,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T22:45:00Z,2026-09-03T00:45:00+0200,2756.21,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T23:00:00Z,2026-09-03T01:00:00+0200,2849.05,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T23:15:00Z,2026-09-03T01:15:00+0200,2974.8,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T23:30:00Z,2026-09-03T01:30:00+0200,3063.64,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-02T23:45:00Z,2026-09-03T01:45:00+0200,3091.05,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T00:00:00Z,2026-09-03T02:00:00+0200,3126.86,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T00:15:00Z,2026-09-03T02:15:00+0200,3264.64,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T00:30:00Z,2026-09-03T02:30:00+0200,3422.21,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T00:45:00Z,2026-09-03T02:45:00+0200,3608.63,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T01:00:00Z,2026-09-03T03:00:00+0200,3655.31,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T01:15:00Z,2026-09-03T03:15:00+0200,3721.72,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T01:30:00Z,2026-09-03T03:30:00+0200,3745.28,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T01:45:00Z,2026-09-03T03:45:00+0200,3787.68,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T02:00:00Z,2026-09-03T04:00:00+0200,3909.86,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T02:15:00Z,2026-09-03T04:15:00+0200,4030.35,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
2026-09-09T20:17:13Z,2026-09-09T22:17:13+0200,03fb9bfb-3bfc-401d-a32e-89148f745583,2026-09-03T02:30:00Z,2026-09-03T04:30:00+0200,4025.56,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore,2026-09-09T20:23:16Z
