collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T19:15:00Z,2026-05-24T21:15:00+0200,86.1,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T19:30:00Z,2026-05-24T21:30:00+0200,89.0,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T19:45:00Z,2026-05-24T21:45:00+0200,85.5,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T20:00:00Z,2026-05-24T22:00:00+0200,91.62,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T20:15:00Z,2026-05-24T22:15:00+0200,91.1,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T20:30:00Z,2026-05-24T22:30:00+0200,91.47,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T20:45:00Z,2026-05-24T22:45:00+0200,85.0,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T21:00:00Z,2026-05-24T23:00:00+0200,76.14,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T21:15:00Z,2026-05-24T23:15:00+0200,71.4,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T21:30:00Z,2026-05-24T23:30:00+0200,69.59,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T21:45:00Z,2026-05-24T23:45:00+0200,60.0,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
2026-06-24T19:07:13Z,2026-06-24T21:07:13+0200,70107106-cbde-4bd0-adcf-88050cf11adc,2026-05-24T22:00:00Z,2026-05-25T00:00:00+0200,50.0,EUR/MWh,FR,FR,day_ahead_price,value,2026-06-24T19:08:22Z
