collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T16:30:00Z,2026-07-01T18:30:00+0200,315.568,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T16:30:00Z,2026-07-01T18:30:00+0200,3.462,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T16:45:00Z,2026-07-01T18:45:00+0200,288.403,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T16:45:00Z,2026-07-01T18:45:00+0200,2.344,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T17:00:00Z,2026-07-01T19:00:00+0200,267.852,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T17:00:00Z,2026-07-01T19:00:00+0200,0.252,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T17:15:00Z,2026-07-01T19:15:00+0200,241.089,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T17:15:00Z,2026-07-01T19:15:00+0200,1.404,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T17:30:00Z,2026-07-01T19:30:00+0200,213.264,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T17:30:00Z,2026-07-01T19:30:00+0200,2.485,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T17:45:00Z,2026-07-01T19:45:00+0200,201.191,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T17:45:00Z,2026-07-01T19:45:00+0200,0.978,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T18:00:00Z,2026-07-01T20:00:00+0200,199.687,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T18:00:00Z,2026-07-01T20:00:00+0200,0.877,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T18:15:00Z,2026-07-01T20:15:00+0200,187.827,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T18:15:00Z,2026-07-01T20:15:00+0200,0.634,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T18:30:00Z,2026-07-01T20:30:00+0200,170.992,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T18:30:00Z,2026-07-01T20:30:00+0200,0.415,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T18:45:00Z,2026-07-01T20:45:00+0200,154.02,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T18:45:00Z,2026-07-01T20:45:00+0200,0.567,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T19:00:00Z,2026-07-01T21:00:00+0200,141.955,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T19:00:00Z,2026-07-01T21:00:00+0200,2.77,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T19:15:00Z,2026-07-01T21:15:00+0200,142.884,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T19:15:00Z,2026-07-01T21:15:00+0200,5.658,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T19:30:00Z,2026-07-01T21:30:00+0200,137.305,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T19:30:00Z,2026-07-01T21:30:00+0200,5.952,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T19:45:00Z,2026-07-01T21:45:00+0200,133.949,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T19:45:00Z,2026-07-01T21:45:00+0200,7.032,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T20:00:00Z,2026-07-01T22:00:00+0200,116.515,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T20:00:00Z,2026-07-01T22:00:00+0200,8.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T20:15:00Z,2026-07-01T22:15:00+0200,97.57,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T20:15:00Z,2026-07-01T22:15:00+0200,10.052,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-01T16:20:20Z
2026-08-01T16:17:51Z,2026-08-01T18:17:51+0200,c456a107-f764-4caf-b1c3-49e6a63a06ca,2026-07-01T20:30:00Z,2026-07-01T22:30:00+0200,92.626,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-01T16:20:20Z
