collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T16:30:00Z,2026-08-28T18:30:00+0200,610.785,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T16:30:00Z,2026-08-28T18:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T16:45:00Z,2026-08-28T18:45:00+0200,614.112,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T16:45:00Z,2026-08-28T18:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T17:00:00Z,2026-08-28T19:00:00+0200,586.68,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T17:00:00Z,2026-08-28T19:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T17:15:00Z,2026-08-28T19:15:00+0200,543.788,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T17:15:00Z,2026-08-28T19:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T17:30:00Z,2026-08-28T19:30:00+0200,560.713,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T17:30:00Z,2026-08-28T19:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-04T16:22:19Z
2026-09-04T16:20:47Z,2026-09-04T18:20:47+0200,01e676bd-e831-4c7e-a602-7f12c9a038aa,2026-08-28T17:45:00Z,2026-08-28T19:45:00+0200,588.514,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-04T16:22:19Z
