collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T07:00:00Z,2026-09-09T09:00:00+0200,628.409,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T07:00:00Z,2026-09-09T09:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T07:15:00Z,2026-09-09T09:15:00+0200,641.954,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T07:15:00Z,2026-09-09T09:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T07:30:00Z,2026-09-09T09:30:00+0200,654.157,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T07:30:00Z,2026-09-09T09:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T07:45:00Z,2026-09-09T09:45:00+0200,677.236,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T07:45:00Z,2026-09-09T09:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T08:00:00Z,2026-09-09T10:00:00+0200,676.609,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T08:00:00Z,2026-09-09T10:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T08:15:00Z,2026-09-09T10:15:00+0200,680.838,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T08:15:00Z,2026-09-09T10:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T08:30:00Z,2026-09-09T10:30:00+0200,689.96,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T08:30:00Z,2026-09-09T10:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
