collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-29T17:00:00Z,2026-08-29T19:00:00+0200,1213.4,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-29T18:00:00Z,2026-08-29T20:00:00+0200,1206.5,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-29T19:00:00Z,2026-08-29T21:00:00+0200,1234.2,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-29T20:00:00Z,2026-08-29T22:00:00+0200,1205.3,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-29T21:00:00Z,2026-08-29T23:00:00+0200,1207.1,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-29T22:00:00Z,2026-08-30T00:00:00+0200,1199.3,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-29T23:00:00Z,2026-08-30T01:00:00+0200,1150.9,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-30T00:00:00Z,2026-08-30T02:00:00+0200,1053.4,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-30T01:00:00Z,2026-08-30T03:00:00+0200,1031.8,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
2026-09-05T16:45:26Z,2026-09-05T18:45:26+0200,cdb92b74-caf5-4132-9652-0b91b69243a6,2026-08-30T02:00:00Z,2026-08-30T04:00:00+0200,1059.9,MW,PT,PT,actual_onshore_wind_generation,Wind Onshore,2026-09-05T16:46:38Z
