collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-27T20:00:00Z,2026-08-27T22:00:00+0200,0.2,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-27T21:00:00Z,2026-08-27T23:00:00+0200,0.1,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-27T22:00:00Z,2026-08-28T00:00:00+0200,0.1,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-27T23:00:00Z,2026-08-28T01:00:00+0200,0.1,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T00:00:00Z,2026-08-28T02:00:00+0200,0.1,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T01:00:00Z,2026-08-28T03:00:00+0200,0.0,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T02:00:00Z,2026-08-28T04:00:00+0200,0.0,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T03:00:00Z,2026-08-28T05:00:00+0200,0.1,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T04:00:00Z,2026-08-28T06:00:00+0200,0.0,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T05:00:00Z,2026-08-28T07:00:00+0200,0.3,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T06:00:00Z,2026-08-28T08:00:00+0200,194.2,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T07:00:00Z,2026-08-28T09:00:00+0200,1171.9,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T08:00:00Z,2026-08-28T10:00:00+0200,1986.1,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T09:00:00Z,2026-08-28T11:00:00+0200,2102.5,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T10:00:00Z,2026-08-28T12:00:00+0200,2304.2,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T11:00:00Z,2026-08-28T13:00:00+0200,2312.0,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T12:00:00Z,2026-08-28T14:00:00+0200,2329.9,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T13:00:00Z,2026-08-28T15:00:00+0200,2228.0,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T14:00:00Z,2026-08-28T16:00:00+0200,2200.8,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T15:00:00Z,2026-08-28T17:00:00+0200,2380.6,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T16:00:00Z,2026-08-28T18:00:00+0200,2372.7,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T17:00:00Z,2026-08-28T19:00:00+0200,1391.5,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T18:00:00Z,2026-08-28T20:00:00+0200,283.7,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T19:00:00Z,2026-08-28T21:00:00+0200,1.4,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T20:00:00Z,2026-08-28T22:00:00+0200,0.4,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T21:00:00Z,2026-08-28T23:00:00+0200,0.1,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
2026-09-03T19:29:45Z,2026-09-03T21:29:45+0200,31662e21-5dd9-4c65-a018-0f6298dfc59c,2026-08-28T22:00:00Z,2026-08-29T00:00:00+0200,0.1,MW,PT,PT,actual_solar_generation,Solar,2026-09-03T19:30:26Z
