collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T02:15:00Z,2026-08-29T04:15:00+0200,82.89,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T02:15:00Z,2026-08-29T04:15:00+0200,82.89,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T02:30:00Z,2026-08-29T04:30:00+0200,80.3,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T02:30:00Z,2026-08-29T04:30:00+0200,80.3,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T02:45:00Z,2026-08-29T04:45:00+0200,82.66,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T02:45:00Z,2026-08-29T04:45:00+0200,210.6,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T03:00:00Z,2026-08-29T05:00:00+0200,80.0,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T03:00:00Z,2026-08-29T05:00:00+0200,80.0,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T03:15:00Z,2026-08-29T05:15:00+0200,75.06,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T03:15:00Z,2026-08-29T05:15:00+0200,210.64,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T03:30:00Z,2026-08-29T05:30:00+0200,82.36,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T03:30:00Z,2026-08-29T05:30:00+0200,82.36,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T03:45:00Z,2026-08-29T05:45:00+0200,82.71,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T03:45:00Z,2026-08-29T05:45:00+0200,210.48,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T04:00:00Z,2026-08-29T06:00:00+0200,76.88,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T04:00:00Z,2026-08-29T06:00:00+0200,210.0,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T04:15:00Z,2026-08-29T06:15:00+0200,86.15,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T04:15:00Z,2026-08-29T06:15:00+0200,210.48,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T04:30:00Z,2026-08-29T06:30:00+0200,86.15,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T04:30:00Z,2026-08-29T06:30:00+0200,211.08,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T04:45:00Z,2026-08-29T06:45:00+0200,120.0,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T04:45:00Z,2026-08-29T06:45:00+0200,211.08,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T05:00:00Z,2026-08-29T07:00:00+0200,82.89,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T05:00:00Z,2026-08-29T07:00:00+0200,213.84,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T05:15:00Z,2026-08-29T07:15:00+0200,120.0,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T05:15:00Z,2026-08-29T07:15:00+0200,213.17,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T05:30:00Z,2026-08-29T07:30:00+0200,120.0,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T05:30:00Z,2026-08-29T07:30:00+0200,120.0,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T05:45:00Z,2026-08-29T07:45:00+0200,139.68,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T05:45:00Z,2026-08-29T07:45:00+0200,139.68,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T06:00:00Z,2026-08-29T08:00:00+0200,146.5,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T06:00:00Z,2026-08-29T08:00:00+0200,209.35,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T06:15:00Z,2026-08-29T08:15:00+0200,141.87,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T06:15:00Z,2026-08-29T08:15:00+0200,171.8,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T06:30:00Z,2026-08-29T08:30:00+0200,112.06,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T06:30:00Z,2026-08-29T08:30:00+0200,112.06,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T06:45:00Z,2026-08-29T08:45:00+0200,13.91,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T06:45:00Z,2026-08-29T08:45:00+0200,97.3,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T07:00:00Z,2026-08-29T09:00:00+0200,0.0,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T07:00:00Z,2026-08-29T09:00:00+0200,0.0,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T07:15:00Z,2026-08-29T09:15:00+0200,-10.49,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T07:15:00Z,2026-08-29T09:15:00+0200,-10.49,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T07:30:00Z,2026-08-29T09:30:00+0200,-12.49,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T07:30:00Z,2026-08-29T09:30:00+0200,-12.49,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T07:45:00Z,2026-08-29T09:45:00+0200,-15.0,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T07:45:00Z,2026-08-29T09:45:00+0200,-15.0,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T08:00:00Z,2026-08-29T10:00:00+0200,-3.0,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T08:00:00Z,2026-08-29T10:00:00+0200,-3.0,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T08:15:00Z,2026-08-29T10:15:00+0200,-2.5,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T08:15:00Z,2026-08-29T10:15:00+0200,-2.5,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T08:30:00Z,2026-08-29T10:30:00+0200,-3.0,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T08:30:00Z,2026-08-29T10:30:00+0200,-3.0,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T08:45:00Z,2026-08-29T10:45:00+0200,-4.01,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T08:45:00Z,2026-08-29T10:45:00+0200,-4.01,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T09:00:00Z,2026-08-29T11:00:00+0200,-2.01,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T09:00:00Z,2026-08-29T11:00:00+0200,-2.01,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T09:15:00Z,2026-08-29T11:15:00+0200,-2.5,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T09:15:00Z,2026-08-29T11:15:00+0200,-2.5,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T09:30:00Z,2026-08-29T11:30:00+0200,-2.5,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T09:30:00Z,2026-08-29T11:30:00+0200,-2.5,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T09:45:00Z,2026-08-29T11:45:00+0200,-2.01,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T09:45:00Z,2026-08-29T11:45:00+0200,-2.01,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T10:00:00Z,2026-08-29T12:00:00+0200,-2.5,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T10:00:00Z,2026-08-29T12:00:00+0200,-2.5,EUR/MWh,PT,PT,imbalance_price,Short,2026-09-05T02:00:36Z
2026-09-05T01:57:59Z,2026-09-05T03:57:59+0200,4de45745-b6bf-4448-8e8a-7ca99d7e4564,2026-08-29T10:15:00Z,2026-08-29T12:15:00+0200,-2.01,EUR/MWh,PT,PT,imbalance_price,Long,2026-09-05T02:00:36Z
